S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,266001.0,PRABHAT SINGH COVT CONTRACTOR,INR,"8,926,371.5",Finance,Attached,Dev Raj,08-Mar-2022 12:08 PM,finance_85842.pdf,BOQ Comparative Chart,Technical,Attached,Dev Raj,03-Mar-2022 04:19 PM,technical_85842.pdf,1.0,266801.0,Dinesh Kumar Sharma,26-Feb-2022 06:26 AM,Rejected-Finance,Ll12L3,08-Mar-2022 12:12 PM,20-Apr-2022,"INR 8,926,372",270.0,Dev Raj,20-Apr-2022 11:29 AM,A.O.C.pdf (967.00 KB),Attached,Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Dev Raj,08-Mar-2022 12:12 PM,finsummary_85842.pdf (328.21 KB),Executive Engineer,Internal,"Tender Assistant,Supdt,HDM,DAO",Dev Raj,03-Mar-2022 04:22 PM,04-Mar-2022 03:00 PM,techsummary_85842.pdf (1479.10 KB),PWD,2022_PWD_56918_1,C/O 3 NOS. TYPE-IV QUARTERS AT CIVIL HOSPITAL AT B,C/O 3 NOS. TYPE-IV QUARTERS AT CIVIL HOSPITAL AT BARSAR DISTRICT HMAIRPUR HP.,AOC,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,"1,32,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,PWD,C/O 3 NOS. TYPE-IV QUARTERS AT CIVIL HOSPITAL AT B,2022_PWD_56918_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O 3 NOS. TYPE-IV QUARTERS AT CIVIL HOSPITAL AT BARSAR DISTRICT HMAIRPUR HP.,"C/O BUILDING PORTION INCLUDING W.S. and S.I., SEPTIC TANK AND RAIN WATER HARVESTING TANK",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,270.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"2,000",Nil,Nil,No,19-Feb-2022 10:30 AM,26-Feb-2022 12:30 PM,19-Feb-2022 10:30 AM,26-Feb-2022 10:30 AM,NA ,NA ,19-Feb-2022 10:30 AM,26-Feb-2022 10:30 AM,04-Mar-2022 03:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,266001.0,PRABHAT SINGH COVT CONTRACTOR,25-Feb-2022 02:45 PM,Accepted-AOC,L1,20-Apr-2022 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,266687.0,Royal build Home,25-Feb-2022 08:05 PM,Rejected-Finance,Ll12L3,08-Mar-2022 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,11. Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,12. Any other information bidder/ firm may like to be provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
