Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD- Civil-14679-14708-Tanda,2022_PWD_57137_46,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic maintenance of Balol Shaheed Marg to village Munda road (HP0406NC0316) under AMP (village road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 0/000 to 1/500),Periodic maintenance of Balol Shaheed Marg to village Munda road (HP0406NC0316) under AMP (village road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 0/000 to 1/500),Please refer Tender documents. ,NA ,"21,98,675",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,"40,500",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,14-Mar-2022 03:00 PM,21-Mar-2022 11:30 AM,14-Mar-2022 03:00 PM,21-Mar-2022 10:00 AM,NA ,NA ,14-Mar-2022 03:00 PM,21-Mar-2022 10:00 AM,26-Mar-2022 11:00 AM,AOC,1.0,271157.0,garg,INR,"2,196,675",19-Apr-2022,"INR 2,198,675",30.0,Ankit Kumar,19-Apr-2022 01:23 PM,Award.pdf (974.00 KB),Award,PWD,2022_PWD_57137_46,PWD- Civil-14679-14708-Tanda,Periodic maintenance of Balol Shaheed Marg to village Munda road (HP0406NC0316) under AMP (village road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 0/000 to 1/500),Executive Engineer,Internal,AE Baroh Sr DAO Supdt HDM,Ankit Kumar,19-Apr-2022 01:22 PM,finsummary_87516.pdf (241.53 KB),Finance,sum,Ankit Kumar,19-Apr-2022 01:20 PM,finance_87516.pdf,BOQ Comparative Chart,1.0,CORRIGENDUM,REVOKE,25-Mar-2022 02:59 PM,Corrigendum.pdf ,219.65,Technical Opening,1.0,271157.0,garg,20-Mar-2022 01:11 PM,Accepted-AOC,Award,19-Apr-2022 01:23 PM,Executive Engineer,Internal,AE Sr DAO Supdt HDM,Suresh Kumar Walia,25-Mar-2022 03:03 PM,26-Mar-2022 11:00 AM,techsummary_87516.pdf (918.44 KB),Technical,SUM,Suresh Kumar Walia,25-Mar-2022 03:01 PM,technical_87516.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270955.0,rajat thakur govt contractor,20-Mar-2022 04:53 PM,Rejected-Technical,Not Fulfill Criteria,25-Mar-2022 03:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , Pan Copy",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271139.0,Ravinder Kumar,20-Mar-2022 03:41 PM,Rejected-Technical,Fulfill Criteria,25-Mar-2022 03:03 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,271125.0,Rohit,20-Mar-2022 01:45 PM,Rejected-Finance,Lowest 1,19-Apr-2022 01:22 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct notary/1st class M,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted notary / 1st class maj,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
