Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Attached,Vivek Sharma,28-Oct-2021 04:57 PM,technical_79289.pdf,1.0,240951.0,Gulam mohammad,21-Oct-2021 10:22 AM,Rejected-Technical,Rejected,28-Oct-2021 05:02 PM,1.0,240801.0,Japan Singh,INR,"4,199,719.5",Finance,Attached,Vivek Sharma,25-Jan-2022 06:36 PM,finance_79289.pdf,BOQ Comparative Chart,02-Apr-2022,"INR 3,851,451",90.0,Vivek Sharma,02-Apr-2022 07:13 PM,NeriTappaFFFF.pdf (1259.00 KB),EE Hamirpur,Internal,SupdtHDMSrDAO,Vivek Sharma,02-Apr-2022 07:06 PM,finsummary_79289.pdf (755.79 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Oct-2021 05:02 PM,29-Oct-2021 10:30 AM,techsummary_79289.pdf (992.11 KB),PWD,2021_PWD_53007_1,C/O link road from Harbal Garden NeriTapa Mandir,C/O link road from Harbal Garden Neri to Tapa Mandir via House of Sh. Ashok Kumar Km. 0/0 to 1/500,AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"67,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,C/O link road from Harbal Garden Neri to Tapa Mandir via House of Sh. Ashok Kumar Km. 0/0 to 1/500,SH Formation Cutting including retaining wall in between RD. 0/0 to 1/0 and Cross drainages work at RD. 0/285 0/438 0/585 alongwith wing walls,Please refer Tender documents. ,NA ,"40,19,798",Civil Works - Roads,NA ,Tender,60.0,90.0,Neri Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,14-Oct-2021 06:00 PM,21-Oct-2021 11:30 AM,14-Oct-2021 06:00 PM,21-Oct-2021 10:30 AM,NA ,NA ,14-Oct-2021 06:00 PM,21-Oct-2021 10:30 AM,29-Oct-2021 10:30 AM,EEHamirpur,Executive Engineer HPPWD Hamirpur,"2,000",Nil,Nil,No,PWD,C/O link road from Harbal Garden NeriTapa Mandir,2021_PWD_53007_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,2.0,240801.0,Japan Singh,20-Oct-2021 07:43 PM,Accepted-AOC,l1,02-Apr-2022 07:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,240939.0,sonam soni,21-Oct-2021 02:06 AM,Rejected-Finance,l2,02-Apr-2022 07:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum work done Certificate as per General rules and direction-26.2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
