Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShVaibhavJindalDAO,Parveen Kumar Verma,26-Apr-2022 09:57 AM,finsummary_86046.pdf (948.95 KB),26-Apr-2022,"INR 4,880,048",60.0,Parveen Kumar Verma,26-Apr-2022 09:59 AM,AOC57034_1.pdf (949.00 KB),AOC,PWD,2022_PWD_57034_1,SD-I-CTR-Tender-2021-2022- 24381 dt 8-2-22,Construction of parking of GAD Qtrs in GAD Colony Kasumpti Shimla-9,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,02-Mar-2022 02:36 PM,02-Mar-2022 04:00 PM,techsummary_86046.pdf (695.80 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,02-Mar-2022 01:25 PM,technical_86046.pdf,1.0,267078.0,babu ram,28-Feb-2022 12:03 PM,Accepted-AOC,awarded,26-Apr-2022 09:59 AM,Finance,Bid opening summary,Sudhir Kumar Gupta,03-Mar-2022 09:02 AM,finance_86046.pdf,BOQ Comparative Chart,1.0,267078.0,babu ram,INR,"3,809,000",AOC,PWD,SD-I-CTR-Tender-2021-2022- 24381 dt 8-2-22,2022_PWD_57034_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"76,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD with UTR No (As per schedule F),"2,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,21-Feb-2022 06:00 PM,02-Mar-2022 11:00 AM,21-Feb-2022 06:00 PM,28-Feb-2022 04:00 PM,NA ,NA ,21-Feb-2022 06:00 PM,28-Feb-2022 04:00 PM,02-Mar-2022 04:00 PM,Construction of parking of GAD Qtrs in GAD Colony Kasumpti Shimla-9,"C/O steel parking with approach road of type-III, A to D Block )(Under parimahal section).",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266896.0,BHARAT SINGH CHAUHAN,28-Feb-2022 02:19 PM,Rejected-Finance,2nd Lowest,26-Apr-2022 09:57 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form with UTR No (as per Schedule F),,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Mobile No and Full Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
