S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,261241.0,HARJEET SINGH,INR,"174,021,060","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",2022_HPIPH_56422_1,19699-748,Source Augmentation Imp of LWSS Kathwari its adjoining villages in GP Bir Bari Gumanoo Sadhhyana Sehali Sai Kashan Sadoh and Tarnoh Tehsil Sadar Distt Mandi HP UNDER JJM,Er Dharmender Gill CE MZ,Internal,Er Upender Vaidya SE SNR Er BS Thakur SED Er Parveen Gupta EED Er Vivek Hazri EE Mandi Er Sweta Singh AED MZ Desh Bandhu Sharma FandA Surjeet Singh Planning officer,Vivek Hazri,21-Apr-2022 12:00 PM,finsummary_84941.pdf (1947.82 KB),21-Apr-2022,"INR 164,024,312",730.0,Vivek Hazri,21-Apr-2022 12:02 PM,Awardkathyari_000472.pdf (1151.00 KB),DNIT Amount,Technical,2 No bidder are found eligible for opening financial bid,Vivek Hazri,24-Feb-2022 12:36 PM,technical_84941.pdf,Finance,Two no bidders participated in the bid successfully,Vivek Hazri,24-Feb-2022 12:45 PM,finance_84941.pdf,BOQ Comparative Chart,1.0,261241.0,HARJEET SINGH,04-Feb-2022 09:05 PM,Accepted-AOC,Lowest One,21-Apr-2022 12:02 PM,Er Dharmender Gill CE MZ,Internal,Er Upender Vaidya SE SNR Er BS Thakur SE D Er Praveen Gupta EED Er Vivek Hazri EE Mandi Er Shweta Singh ASD Sh Desh BAndhu ACF Sh Surjeet Singh Planning officer,Vivek Hazri,24-Feb-2022 12:39 PM,24-Feb-2022 12:40 PM,techsummary_84941.pdf (1947.83 KB),AOC,Executive Engineer,Executive Engineer Jal Shakti Division Mandi,Source Augmentation Imp of LWSS Kathwari its adjoining villages in GP Bir Bari Gumanoo Sadhhyana Sehali Sai Kashan Sadoh and Tarnoh Tehsil Sadar Distt Mandi HP UNDER JJM,Provision for Development of site for C/O Civil Works C/O Rail cum Trolly system with Winch Room C/O 2 MLD Water Treatment Plants with Disinfection system C/O Pump Houses Providing Laying Jointing and Testing of Rising Main Gravity Mains an,Please refer Tender documents. ,NA ,"16,40,24,312",Civil Works,NA ,Tender,120.0,730.0,Dhanyari Kathyari,175001.0,NA ,NA ,NA ,Jal Shakti Division Mandi,No ,No,"16,40,300",Yes,fixed,,EE Mandi,Mandi,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"2,500",EE Mandi,Mandi,Yes,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",19699-748,2022_HPIPH_56422_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,04-Feb-2022 05:00 PM,11-Feb-2022 11:30 AM,04-Feb-2022 05:00 PM,10-Feb-2022 05:00 PM,NA ,NA ,04-Feb-2022 05:30 PM,10-Feb-2022 05:00 PM,24-Feb-2022 12:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,261585.0,Unipro Techno Infrastructure Pvt Ltd,07-Feb-2022 12:03 PM,Rejected-Finance,Other than Lowest,21-Apr-2022 12:00 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate copy of registration in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN and GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that I have carefully studied all the terms and condition stipulated in the contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual financial turnover during last 3 years ending 31 March of previous financial year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience certificate of similar work i.e. Pumping system, water treatment plant, piping works, wat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Character sticks curve in PDF format indicating Horse power required at duty point pump effiien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
