Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,2022_PWD_57137_31,PWD- Civil-14679-14708-Tanda,Periodic maintenance of Daulatpur Sunhi Sarotari to Kandi road (HP0408VR0004) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 20/000 to 21/000),Executive Engineer,Internal,AE Baroh Sr DAO Supdt HDM,Ankit Kumar,19-Apr-2022 01:12 PM,finsummary_87453.pdf (902.91 KB),1.0,271146.0,garg,INR,"2,293,500",19-Apr-2022,"INR 2,294,875",30.0,Ankit Kumar,19-Apr-2022 01:27 PM,Award.pdf (903.00 KB),Award,1.0,CORRIGENDUM,Revoke,25-Mar-2022 10:43 AM,7.pdf ,758.05,Technical Opening,1.0,271146.0,garg,20-Mar-2022 12:55 PM,Accepted-AOC,Award,19-Apr-2022 01:27 PM,Executive Engineer,Internal,AE Sr DAO Supdt HDM,Suresh Kumar Walia,25-Mar-2022 10:47 AM,26-Mar-2022 11:00 AM,techsummary_87453.pdf (770.02 KB),Technical,sum,Suresh Kumar Walia,25-Mar-2022 10:46 AM,technical_87453.pdf,Finance,Sum,Ankit Kumar,19-Apr-2022 01:11 PM,finance_87453.pdf,BOQ Comparative Chart,AOC,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,"41,950",No,fixed,,Nil,Nil,14-Mar-2022 09:00 AM,21-Mar-2022 11:30 AM,14-Mar-2022 09:00 AM,21-Mar-2022 10:00 AM,NA ,NA ,14-Mar-2022 09:00 AM,21-Mar-2022 10:00 AM,26-Mar-2022 11:00 AM,PWD,PWD- Civil-14679-14708-Tanda,2022_PWD_57137_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic maintenance of Daulatpur Sunhi Sarotari to Kandi road (HP0408VR0004) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 20/000 to 21/000),Periodic maintenance of Daulatpur Sunhi Sarotari to Kandi road (HP0408VR0004) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 20/000 to 21/000),Please refer Tender documents. ,NA ,"22,94,875",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271120.0,Pritam Singh Thakur,20-Mar-2022 03:57 PM,Rejected-Finance,Lowest 2,19-Apr-2022 01:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor registration,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271054.0,rajat thakur govt contractor,20-Mar-2022 04:42 PM,Rejected-Technical,Not Fulfill Criteria,25-Mar-2022 10:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"GST , Pan Copy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,271179.0,Ravinder Kumar,20-Mar-2022 03:54 PM,Rejected-Technical,Not Fulfill Criteria,25-Mar-2022 10:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct notary/1st class M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted notary / 1st class maj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
