Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",Nil,Nil,No,PWD,AMP DHARAMSHALLA DADH PALAMPUR HOLTA CHADHIAR,2022_PWD_57695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,04,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,1.0,ICICI BANK,08-Mar-2022 04:30 PM,21-Mar-2022 11:30 AM,08-Mar-2022 04:40 PM,19-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 04:40 PM,19-Mar-2022 05:00 PM,23-Mar-2022 03:00 PM,ANNUAL MAINTENANCE PLAN FOR DHARAMSHALLA DADH PALAMPUR HOLTA,"PROVIDING AND LAYING TACK COAT AND BITUMINOUS CONCRETE INCLUDING PROFILE CORRECTION BETWEEN KM 44/0 TO 45/0 ,48/0 TO 50/0 , 51/0 TO 52/0 AND 55/0 TO 56/0) (YEAR 2022-23 MDR)",Please refer Tender documents. ,NA ,"52,20,144",Civil Works - Roads,NA ,Tender,75.0,90.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,AOC,1.0,270931.0,G.P.ACHARYA,19-Mar-2022 03:47 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,20-Apr-2022 01:17 PM,Technical,Summary,R.K Dhiman,23-Mar-2022 12:43 PM,technical_87083.pdf,1.0,Corrigendum,Work has wrongly been uploaded,22-Mar-2022 02:59 PM,CORRIGENDUM.pdf ,152.83,Technical Opening,Finance,Summary,R.K Dhiman,20-Apr-2022 01:06 PM,finance_87083.pdf,BOQ Comparative Chart,1.0,270931.0,G.P.ACHARYA,INR,"8,663,979",PWD,2022_PWD_57695_1,AMP DHARAMSHALLA DADH PALAMPUR HOLTA CHADHIAR,ANNUAL MAINTENANCE PLAN FOR DHARAMSHALLA DADH PALAMPUR HOLTA,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,23-Mar-2022 12:46 PM,23-Mar-2022 03:00 PM,techsummary_87083.pdf (250.62 KB),Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,20-Apr-2022 01:11 PM,finsummary_87083.pdf (212.38 KB),20-Apr-2022,"INR 5,220,144",90.0,R.K Dhiman,20-Apr-2022 01:17 PM,Award.pdf (649.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,270530.0,Kulvinder,19-Mar-2022 03:30 PM,Rejected-Finance,Rejected due to higher rates bidder L2,20-Apr-2022 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,270964.0,VISHAL ACHARYA,19-Mar-2022 04:08 PM,Rejected-Technical,Non Responsive,23-Mar-2022 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
