Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),10-Aug-2021 06:30 PM,17-Aug-2021 11:00 AM,10-Aug-2021 06:30 PM,16-Aug-2021 06:00 PM,NA ,NA ,10-Aug-2021 06:30 PM,16-Aug-2021 06:00 PM,24-Aug-2021 03:05 PM,M/T on Link road to Nagindri Road in K.M. 0/00 to 0/830,Providing and Laying of WBM G-II in K.M. 0/00 to 0/830,Please refer Tender documents. ,NA ,"6,04,609",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,Division HPPWD Kotkhai,350.0,Nil,Nil,No,1.0,ICICI BANK,"12,092",No,fixed,,Nil,Nil,PWD,PW-KD-E-Tender/2021-22-2023-25 dt 27-07-2021,2021_PWD_51040_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, HDM, Sr. Assistant",Ramesh Rana,24-Aug-2021 03:01 PM,24-Aug-2021 03:05 PM,techsummary_76310.pdf (744.88 KB),PWD,2021_PWD_51040_1,PW-KD-E-Tender/2021-22-2023-25 dt 27-07-2021,M/T on Link road to Nagindri Road in K.M. 0/00 to 0/830,27-Apr-2022,"INR 604,609",60.0,Ramesh Rana,28-Apr-2022 02:19 PM,1.pdf (935.00 KB),Executive Engineer,Internal,"XEN, Ae, HDM, Sr. Asstt",Ramesh Rana,08-Oct-2021 03:25 PM,finsummary_76310.pdf (188.54 KB),1.0,230276.0,DEEPAK DHARMAIK,16-Aug-2021 02:05 PM,Rejected-Finance,L3 Bidder,08-Oct-2021 03:25 PM,Technical,SUMMARY UPLOADED,Ramesh Rana,24-Aug-2021 01:14 PM,technical_76310.pdf,Finance,Summary Uploaded,Ramesh Rana,08-Oct-2021 03:17 PM,finance_76310.pdf,BOQ Comparative Chart,1.0,230342.0,SANJEEV KUMAR CONTRACTOR,INR,"479,311",AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,230254.0,dinesh,16-Aug-2021 12:57 PM,Rejected-Finance,L2 Bidder,08-Oct-2021 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,230342.0,SANJEEV KUMAR CONTRACTOR,16-Aug-2021 05:54 PM,Accepted-AOC,awarded to lowest bidder,28-Apr-2022 02:19 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
