S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,253521.0,G.P.ACHARYA,INR,"124,137,244.79",Finance,Financial bid opening summary,Eshant Thakur,27-Jan-2022 01:27 PM,finance_82314.pdf,BOQ Comparative Chart,Technical,technical summary,Eshant Thakur,05-Jan-2022 02:36 PM,technical_82314.pdf,1.0,253521.0,G.P.ACHARYA,03-Jan-2022 07:05 PM,Accepted-AOC,Accepted due to L1 and work award,06-Apr-2022 04:09 PM,30-Mar-2022,"INR 135,076,050",730.0,Eshant Thakur,06-Apr-2022 04:09 PM,AOC3.pdf (648.00 KB),AOC and LOA,Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Gr I,Eshant Thakur,11-Feb-2022 10:10 AM,finsummary_82314.pdf (486.09 KB),Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Works,Eshant Thakur,13-Jan-2022 04:53 PM,24-Jan-2022 11:00 AM,techsummary_82314.pdf (1242.17 KB),PWD,2021_PWD_54882_1,PW-SE-JNR-2021-22-6356-6405,Construction of Balance work of Uttrala to Surahi Pass (Portion Uttrala to Baklood) (Dhundhi Nallah) Km 0/0 to 13/0,AOC,SE JNR Circle HPPWD Joginder Nagar,SE JNR Circle HPPWD Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid,1.0,ICICI BANK,"5,000",Nil,Nil,No,Construction of Balance work of Uttrala to Surahi Pass (Portion Uttrala to Baklood) (Dhundhi Nallah) Km 0/0 to 13/0,"Formation Cutting, Passing Places, R/Walls, C.D. Work, GSB, WBM-II, WBM-III, Tarring work, CC Pavement, Side Drain and Parapets including 5 year routine maintenance after completion the work.) (Under NABARD RIDF XXVII)",Please refer Tender documents. ,NA ,"13,50,76,050",Civil Works - Roads,NA ,Tender,90.0,730.0,Uttrala,176125.0,NA ,NA ,NA ,JNR Circle HPPWD Joginder Nagar,No ,No,21-Dec-2021 06:00 PM,04-Jan-2022 11:30 AM,21-Dec-2021 06:00 PM,04-Jan-2022 10:00 AM,NA ,NA ,21-Dec-2021 06:00 PM,04-Jan-2022 10:00 AM,24-Jan-2022 11:00 AM,"27,02,000",No,fixed,,Nil,Nil,PWD,PW-SE-JNR-2021-22-6356-6405,2021_PWD_54882_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Extend of Financial Bid of date,Financial Bid Opening Date Corrigendum,,AOC
2.0,253621.0,P. L. SHARMA,INR,"125,979,683.02",,,,,,,,,,,,2.0,253753.0,MCC POWER PROJECTS PVT. LTD.,04-Jan-2022 09:28 AM,Rejected-Technical,Non Responsive,13-Jan-2022 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of the Demand Draft as per SBD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,253621.0,P. L. SHARMA,03-Jan-2022 06:58 PM,Accepted-AOC,Rejected due to L2,06-Apr-2022 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of the Bid Security as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Q.I. 4.1.1 as per SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Q.I. 4.4 B (c) SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Authority to seek references from the Bidders bankers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
