Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,500",Nil,Nil,No,"15,31,102",No,fixed,,Nil,Nil,Executive Engineer,Jal Shakti Vibhag Division Indora,06-Jan-2022 05:00 PM,18-Jan-2022 11:30 AM,06-Jan-2022 05:00 PM,17-Jan-2022 05:00 PM,NA ,NA ,07-Jan-2022 10:00 AM,17-Jan-2022 05:00 PM,28-Jan-2022 10:40 AM,1.0,ICICI BANK,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",EE-JSD-IND/EA-1/10870-71,2022_HPIPH_55413_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"The Bid security in favour of Executive Engineer, Jal Shakti Division Indora, shall be submitted",Providing functional house hold tap Connection ( FHTC) to various villages of Mand area in Tehsil Indora Distt. Kangra H.P.,Providing functional house hold tap Connection ( FHTC) to various villages of Badukhar area in Tehsil Indora Distt. Kangra H.P.,Please refer Tender documents. ,NA ,"15,31,10,270",Civil Works,NA ,Tender,120.0,365.0,INDORA,176401.0,O/o. CHIEF ENGINEER DHARAMSHALA ,JAL SHAKTI VIBHAG ZONE DHARAMSHALA ,15-Jan-2022 11:30 AM ,O/o. Executive Engineer,No ,No,AOC,SE,Internal,EE EE(D) SUPDT HDM,Gurbax Singh,11-Apr-2022 12:40 PM,finsummary_83131.pdf (96.05 KB),"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",2022_HPIPH_55413_1,EE-JSD-IND/EA-1/10870-71,Providing functional house hold tap Connection ( FHTC) to various villages of Mand area in Tehsil Indora Distt. Kangra H.P.,1.0,255571.0,S.k.sharma contractor and engineer,INR,"164,310,980.5",1.0,255592.0,National India Construction Co.,15-Jan-2022 05:31 PM,Rejected-Finance,L2,11-Apr-2022 12:40 PM,SE,Internal,CHD AE EE SE,Gurbax Singh,28-Jan-2022 10:36 AM,28-Jan-2022 10:40 AM,techsummary_83131.pdf (1604.21 KB),11-Apr-2022,"INR 153,110,270",365.0,Gurbax Singh,11-Apr-2022 12:47 PM,AOC.pdf (711.00 KB),TENDER HAD BEEN AWARDED TO SK SHARMA CONTRACTOR AND ENGINEERS,Technical,proceeding,Gurbax Singh,28-Jan-2022 10:33 AM,technical_83131.pdf,Finance,summary,Gurbax Singh,31-Jan-2022 11:19 AM,finance_83131.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online mode (e-payment),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,255571.0,S.k.sharma contractor and engineer,16-Jan-2022 11:10 AM,Accepted-AOC,AWARDED,11-Apr-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state/central Govt. depart,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,255674.0,Unipro Techno Infrastructure Pvt Ltd,17-Jan-2022 11:01 AM,Rejected-Finance,L3,11-Apr-2022 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria ,Similar Nature of Work",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN ,GST registration",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other conditions as per,NIT,Form6,12,Technical specification,data sheet",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
