Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Er. Sushil Kumar, Sr. Executive Engineer, ED Karsog",Internal,attached,Sushil Kumar,01-Apr-2022 03:12 PM,01-Apr-2022 03:15 PM,techsummary_88320.pdf (420.40 KB),1.0,273206.0,Gupta Agencies,28-Mar-2022 11:02 AM,Rejected-Finance,L-4,25-Apr-2022 12:25 PM,25-Apr-2022,"INR 558,938",90.0,Sushil Kumar,25-Apr-2022 12:28 PM,MOM127.pdf (431.00 KB),Awarded to Harish Bhardwaj (L-1) Which found lowest,Finance,attached,Sushil Kumar,25-Apr-2022 12:15 PM,finance_88320.pdf,BOQ Comparative Chart,Technical,attached,Sushil Kumar,01-Apr-2022 02:58 PM,technical_88320.pdf,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_58383_1,184619/DB/2021-22-7406-14 Dated 21.03.2022,"Tender for replacement of 53 Nos rotten wooden poles from existing 25 KVA 22/0.4 KV Ghaini , 25 KVA Chmoli , 25 KVA Bhanog , 25 KVA Kandi and 25 KVA Balu-Kufri Under ESD HPSEBL Churag",1.0,273746.0,HARISH BHARDWAJ,INR,"419,203.49","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,25-Apr-2022 12:25 PM,finsummary_88320.pdf (431.32 KB),AOC,"Er. Sushil Kumar, Sr. Executive Engineer, ED Karso","Electrical Division HPSEBL, Karsog","Tender for replacement of 53 Nos rotten wooden poles from existing 25 KVA 22/0.4 KV Ghaini , 25 KVA Chmoli , 25 KVA Bhanog , 25 KVA Kandi and 25 KVA Balu-Kufri Under ESD HPSEBL Churag","Tender for replacement of 53 Nos rotten wooden poles from existing 25 KVA 22/0.4 KV Ghaini , 25 KVA Chmoli , 25 KVA Bhanog , 25 KVA Kandi and 25 KVA Balu-Kufri Under ESD HPSEBL Churag",please refer tender document  ,N/A ,"5,58,938",Miscellaneous Services,Electrical Work ,Tender,180.0,90.0,Churag,175010.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer, ED Karsog",No ,No,1.0,ICICI BANK,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2021-22-7406-14 Dated 21.03.2022,2022_HPSEB_58383_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,DATE CORRIGENDUM,Date,,"13,973",No,fixed,,Nil,Nil,22-Mar-2022 04:30 PM,30-Mar-2022 02:00 PM,23-Mar-2022 11:00 AM,30-Mar-2022 11:00 AM,NA ,NA ,23-Mar-2022 11:00 AM,30-Mar-2022 11:00 AM,01-Apr-2022 03:15 PM,590.0,Nil,Nil,No,AOC
,,,,,,,2.0,273746.0,HARISH BHARDWAJ,29-Mar-2022 05:13 PM,Accepted-AOC,found lowest,25-Apr-2022 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,273199.0,Koyla Engineering Works,27-Mar-2022 03:59 PM,Rejected-Finance,L-3,25-Apr-2022 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,273477.0,SATPAL,28-Mar-2022 04:14 PM,Rejected-Finance,L-2,25-Apr-2022 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
