Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
27-Apr-2022,"INR 2,731,867",730.0,Dalip singh Patial,29-Apr-2022 04:50 PM,AOC54311_1.pdf (855.00 KB),awarded to the lowest bidder vide this office letter no. 752-56 dated 27.04.2022,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,20-Mar-2022 07:00 PM,finsummary_81342.pdf (143.21 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt.,Dalip singh Patial,27-Dec-2021 12:47 PM,27-Dec-2021 02:00 PM,techsummary_81342.pdf (245.85 KB),PWD,2021_PWD_54311_1,Elect. Division HPPWD Palampur,Construction of Shikshak Sadan evam Pustak vitaran kendra for HP Board of school Education at Dharamshala in District Kangra (H.P.) (SH- Providing E.I. therein),Technical,as per uploaded document,Dalip singh Patial,27-Dec-2021 12:44 PM,technical_81342.pdf,1.0,249010.0,Deepak Sood,13-Dec-2021 10:01 AM,Rejected-Finance,L2,20-Mar-2022 07:00 PM,Finance,as per uploaded document,Dalip singh Patial,20-Mar-2022 06:56 PM,finance_81342.pdf,BOQ Comparative Chart,1.0,248812.0,JAMWAL ELECTRICAL WORKS,INR,"3,631,874",AOC,"1,500",Nil,Nil,No,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. Division HPPWD Palampur,2021_PWD_54311_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Dec-2021 10:00 AM,14-Dec-2021 11:30 AM,04-Dec-2021 10:00 AM,14-Dec-2021 10:00 AM,NA ,NA ,04-Dec-2021 10:00 AM,14-Dec-2021 10:00 AM,27-Dec-2021 02:00 PM,"48,500",No,fixed,,Nil,Nil,Construction of Shikshak Sadan evam Pustak vitaran kendra for HP Board of school Education at Dharamshala in District Kangra (H.P.) (SH- Providing E.I. therein),Construction of Shikshak Sadan evam Pustak vitaran kendra for HP Board of school Education at Dharamshala in District Kangra (H.P.) (SH- Providing E.I. therein),Please refer Tender documents. ,NA ,"27,31,867",Electrical Works,NA ,Tender,120.0,730.0,Dharamshala in Distt. Kangra,176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248812.0,JAMWAL ELECTRICAL WORKS,11-Dec-2021 12:51 PM,Accepted-AOC,L1,29-Apr-2022 04:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,249076.0,Malhotra Associates,13-Dec-2021 11:17 AM,Rejected-Finance,L3,20-Mar-2022 07:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration Certificate,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (minimum one similar work done not less than 40 percent of estimated cost),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules-2021,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,AOC
