Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical Bid Opening Summary,Deepak Mahajan,31-Dec-2021 01:28 PM,technical_81892.pdf,1.0,251610.0,construction,22-Dec-2021 02:16 PM,Accepted-AOC,Work awarded to contractor,22-Apr-2022 01:59 PM,1.0,251610.0,construction,INR,"38,188,493",Finance,Finance bid opening summary,Deepak Mahajan,07-Jan-2022 11:42 AM,finance_81892.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,Dealing Assistant Superintendent G-II EO EE D EE Bharmour,Deepak Mahajan,22-Apr-2022 01:57 PM,finsummary_81892.pdf (18.03 KB),22-Apr-2022,"INR 38,188,493.05",540.0,Deepak Mahajan,22-Apr-2022 01:59 PM,AL.pdf (87.00 KB),Award letter,PWD,2021_PWD_54630_1,SE Dalhousie letter No. 9633-53 dated 09-12-2021,Construction of Link road from Mehla Charri road Km 0/000 to 2/700 in District Chamba(HP) under NABARD (RIDF-XXVII),SSuperintending Engineer,Internal,Dealing Assistant (C and C) Superintendent G-II (W) Engineer Officer Executive Engineer (D) Executive Engineer Bharmour,Deepak Mahajan,01-Jan-2022 05:31 PM,06-Jan-2022 11:30 AM,techsummary_81892.pdf (4902.77 KB),AOC,"8,23,000",No,fixed,,Nil,Nil,PWD,SE Dalhousie letter No. 9633-53 dated 09-12-2021,2021_PWD_54630_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Link road from Mehla Charri road Km 0/000 to 2/700 in District Chamba(HP) under NABARD (RIDF-XXVII),"Formation cutting, Passing places, Retaining wall, Cross Drainage work GSB,WBM-II, WBM-III, Tarring work, Side Drain, Parapets and road furniture etcetera including routing maintenance for five year)",Please refer Tender documents. ,NA ,"4,11,34,208",Civil Works,NA ,Tender,75.0,540.0,Bharmour,176315.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,1.0,ICICI BANK,Superintending Engineer,Superintending Engineer 7th Circle HPPWD Dalhousie,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,15-Dec-2021 10:00 AM,23-Dec-2021 11:30 AM,15-Dec-2021 10:00 AM,23-Dec-2021 11:00 AM,NA ,NA ,15-Dec-2021 10:00 AM,23-Dec-2021 11:00 AM,06-Jan-2022 11:30 AM,"5,000",Nil,Nil,No,AOC
,,,,,2.0,251776.0,Mohinder Rana,22-Dec-2021 01:10 PM,Rejected-Technical,Rejected,01-Jan-2022 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,AOC
