Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Director, FCS and CA, Assam, Ghy-5","Office of the Directorate of Food, Civil Supplies and Consumer Affairs, Assam, Sethi Trust Building, Guwahati, Kamrup Metro, Pin-781005",29-Jul-2021 11:30 AM,09-Aug-2021 01:00 PM,29-Jul-2021 12:00 PM,07-Aug-2021 05:00 PM,NA ,NA ,29-Jul-2021 01:00 PM,07-Aug-2021 05:00 PM,12-Aug-2021 05:00 PM,1.0,SBI Bank,"10,000",Nil,Nil,No,RFP for Selection of Agency to Supply Non-Woven Carry Bags for Rice Distribution under PMGKAY,RFP for Selection of Agency to Supply Non-Woven Carry Bags for Rice Distribution under PMGKAY in Assam,RFP for Selectiion of Agency to Supply Non-Woven Carry Bags for Rice Distribution under PMGKAY ,NA ,,Miscellaneous Goods,Selection of Agency to Supply Non-Woven Carry Bags ,Tender,90.0,90.0,Assam,781005.0,NA ,NA ,NA ,"Directorate of FCS and CA, Assam, Guwahati-5",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document to be signed by the bidder,Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs,DS. 97/2021/2 dated 29-07-2021,2021_FCS_22294_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,Corrigendum No. 3,Date,,"20,00,000",No,fixed,,Nil,Nil,AOC,"Director, FCS and CA",Internal,"Deputy Secretary to the Govt. of Assam FCS and CA Deptt, Senior Finance and Accounts Officer FCS and CA, Joint Director FCS and CA",MANAS NATH,16-Aug-2021 02:33 PM,finsummary_34587.pdf (4236.14 KB),"Director, FCS and CA",Internal,"Deputy Secretary to the Govt, FCS and CA, Joint Director, Industries and Commerce, Joint Director, FCS and CA, Senior FAO, FCS and CA, Food Safety Officer, Health Deptt, Inspector, FCS and CA",MANAS NATH,12-Aug-2021 04:49 PM,12-Aug-2021 05:00 PM,techsummary_34587.pdf (831.13 KB),1,120754,Agam Pharmaceuticals,07-Aug-2021 04:47 PM,Rejected-Finance,Financially rejected as L3,16-Aug-2021 02:33 PM,01-Apr-2022,INR 98299617,90.0,Mriganka Sekhar Hazarika,27-Apr-2022 12:52 PM,AOC.pdf (395.00 KB),Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs,2021_FCS_22294_1,DS. 97/2021/2 dated 29-07-2021,RFP for Selection of Agency to Supply Non-Woven Carry Bags for Rice Distribution under PMGKAY,Technical,Technical Bid is open,MANAS NATH,09-Aug-2021 06:26 PM,,Finance,Financial Bid Opened,Mriganka Sekhar Hazarika,12-Aug-2021 05:10 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents (1),,,,,,,,,,,,,,,2.0,Corrigendum 4,Technical Bid,,,,,,,,AOC,,,,,,,,,,,,,,2,120486,ALFA INSTRUMENTS,07-Aug-2021 04:37 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Technical Documents (extra folder to be use, if required)",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,3,120507,BINDAN PACKS PVT. LTD,07-Aug-2021 04:21 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid/ Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,4,120481,HARIOM POLYPACKS LIMITED,07-Aug-2021 03:17 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,5,120405,IDEAL AD GIFT INTERNATIONAL,07-Aug-2021 04:20 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,6,120692,JUTE PACK INDIA,07-Aug-2021 04:28 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,7,120808,M/S KHUSHI ENTERPRISES JV UTTAM FASHION HOUSE,07-Aug-2021 04:49 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,8,120397,R B DEAI AND COMPANY,07-Aug-2021 03:36 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,9,120810,SIGN SMART,07-Aug-2021 04:34 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,10,120747,SRB IMPEX,07-Aug-2021 04:15 PM,Rejected-Technical,Technically reject,12-Aug-2021 04:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC
