Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Technical,Bid opening summary,Manish Sehgal,16-Aug-2021 02:27 PM,technical_73643.pdf,1.0,222048.0,Ashish Chauhan,08-Jul-2021 11:16 AM,Rejected-AOC,BID RANK-L2,25-Apr-2022 04:42 PM,1.0,222064.0,PRANSHU SHARMABUILDER,INR,"924,292",Finance,Summary,Manish Sehgal,25-Apr-2022 03:46 PM,finance_73643.pdf,BOQ Comparative Chart,25-Apr-2022,"INR 1,012,234.75",180.0,Manish Sehgal,25-Apr-2022 04:42 PM,AOC.pdf (1638.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,25-Apr-2022 03:50 PM,finsummary_73643.pdf (464.12 KB),Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Dayal Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,16-Aug-2021 02:29 PM,17-Aug-2021 11:00 AM,techsummary_73643.pdf (923.41 KB),PWD,2021_PWD_47856_2,HSC Building with delivery room at Chambi,Construction of Health Sub-Centre Building with delivery room at Chambi.,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,30-Jun-2021 10:00 AM,09-Jul-2021 11:30 AM,30-Jun-2021 10:05 AM,09-Jul-2021 11:00 AM,NA ,NA ,30-Jun-2021 10:30 AM,09-Jul-2021 11:00 AM,17-Aug-2021 11:00 AM,PWD,HSC Building with delivery room at Chambi,2021_PWD_47856_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,900",No,fixed,,Nil,Nil,Construction of Health Sub-Centre Building with delivery room at Chambi.,Construction of 1st floor building i/c water supply and sanitary installation,Please refer Tender documents. ,NA ,"7,44,667",Civil Works - Buildings,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,350.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,2.0,222064.0,PRANSHU SHARMABUILDER,08-Jul-2021 12:30 PM,Accepted-AOC,BID RANK-L1,25-Apr-2022 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
