Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"procurement of PPE KIT (CONTAINING GLOVES (2 PAIRS), COVERALL, GOGGLES, N-95 MASKS AND SHOE COVERS), on F.O.R. door delivery basis in Directorate of Health and Family Welfare, H.P, Shimla-171009","procurement of PPE KIT (CONTAINING GLOVES (2 PAIRS), COVERALL, GOGGLES, N-95 MASKS AND SHOE COVERS), on F.O.R. door delivery basis in Directorate of Health and Family Welfare, H.P, Shimla-171009",Please refer Tender documents. ,NA ,,Medical Equipments/Waste,PPE KIT  ,Rate Contract,180.0,365.0,As per tender document,171009.0,NA ,NA ,NA ,"Block No. 6, SDA Complex, Swasthya Sadan,Kasumpti",No ,No,500.0,Nil,Nil,No,09-Dec-2020 09:00 AM,23-Dec-2020 02:00 PM,09-Dec-2020 09:00 AM,23-Dec-2020 01:00 PM,09-Dec-2020 09:00 AM ,14-Dec-2020 05:00 PM ,16-Dec-2020 06:55 PM,23-Dec-2020 01:00 PM,28-Dec-2020 05:10 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Documents required to be uploaded as per Tender Document and Checklist Annexure- X-6 sr no 1 to 4,Department of Health and Family Welfare||Directorate of Health and Family Welfare,Procurement of PPE KIT,2020_DFHW_43048_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,"5,00,000",No,fixed,,Nil,Nil,"DIRECTOR HEALTH SERVICES, HIMACHAL PRADESH","Directorate of Health Service Block No. 6, SDA Complex, Swasthya Sadan,Kasumpti 171009",AOC,1,192265,Arora Medi Lines Pvt Ltd,23-Dec-2020 12:39 PM,Accepted-AOC,Awarded Supply order issued as per actual requirement to firms,27-Apr-2022 02:13 PM,Department of Health and Family Welfare||Directorate of Health and Family Welfare,2020_DFHW_43048_1,Procurement of PPE KIT,"procurement of PPE KIT (CONTAINING GLOVES (2 PAIRS), COVERALL, GOGGLES, N-95 MASKS AND SHOE COVERS), on F.O.R. door delivery basis in Directorate of Health and Family Welfare, H.P, Shimla-171009",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Documents required to be uploaded as per Tender Document and Checklist Annexure- X-6 sr no 5 to 8,,,,,,,,,,,,,,,,,,,,,,,AOC,2,192227,BANSAL TRADING COMPANY,23-Dec-2020 11:56 AM,Rejected-Finance,High Amount Quoted,08-Jan-2021 01:06 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents required to be uploaded as per Tender Document and Checklist Annexure- X-6 sr no 9 to 12,,,,,,,,,,,,,,,,,,,,,,,AOC,3,192469,Deepali designs and Exhibits Pvt Ltd,23-Dec-2020 10:56 AM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents required to be uploaded as per Tender Document and Checklist Annexure- X-6 sr no 13 to 18,,,,,,,,,,,,,,,,,,,,,,,AOC,4,192260,INNOVATIVE GROUP CONFERENCE AND EVENTS SOLUTION PVT LTD,23-Dec-2020 12:44 PM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents required to be uploaded as per tender document,,,,,,,,,,,,,,,,,,,,,,,AOC,5,192402,NARANG PHARMA DISTRIBUTORS,23-Dec-2020 11:04 AM,Rejected-Finance,High Amount Quoted,08-Jan-2021 01:06 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,AOC,6,192973,NOVEX HEALTHCARE,22-Dec-2020 08:35 PM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,192378,PIRANHA INTERNATIONAL,23-Dec-2020 10:21 AM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,193168,SANGAM MEDICAL HALL,23-Dec-2020 10:23 AM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,192276,Signet Garments Private Limited,22-Dec-2020 07:26 PM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,192998,SWAMI TEXTILES PVT. LTD,23-Dec-2020 10:39 AM,Rejected-Technical,Kindly refer proceeding,28-Dec-2020 05:08 PM,,,,,AOC
