Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical bid opening summary,Sanjiv Kumar,23-Dec-2021 11:16 AM,technical_81259.pdf,1.0,250989.0,Om Parkash Sharma And Sons,21-Dec-2021 04:16 PM,Accepted-AOC,Accepted due to L1 and work awarded,06-Apr-2022 04:53 PM,1.0,250989.0,Om Parkash Sharma And Sons,INR,"107,861,856.6",Finance,Financial summary,Sanjiv Kumar,05-Jan-2022 03:15 PM,finance_81259.pdf,BOQ Comparative Chart,Er Rajeev Sharma SE,Internal,EE Design EE Baijnath AE Design Supdt Works,Eshant Thakur,27-Jan-2022 05:27 PM,finsummary_81259.pdf (501.35 KB),02-Apr-2022,"INR 108,005,504",730.0,Eshant Thakur,06-Apr-2022 04:53 PM,AOCSagoor.pdf (694.00 KB),AOC and LOA,PWD,2021_PWD_54264_1,SE-JNR-Nabard-Tender-5599-5698,Construction of Road from Sagoor to Dhanag via Nagan i/c Bridge over Binwa Khad at Khadiyal Km 0/0 to 4/360,Er.Rajeev Sharma SE,Internal,Executive Engineer Design Executive Engineer Baijnath Assistant Engineer Design Superintendent Grade I,Sanjiv Kumar,30-Dec-2021 02:57 PM,04-Jan-2022 11:00 AM,techsummary_81259.pdf (1023.46 KB),AOC,PWD,SE-JNR-Nabard-Tender-5599-5698,2021_PWD_54264_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,02-Dec-2021 06:00 PM,22-Dec-2021 11:30 AM,02-Dec-2021 06:00 PM,22-Dec-2021 10:00 AM,NA ,NA ,02-Dec-2021 06:00 PM,22-Dec-2021 10:00 AM,04-Jan-2022 11:00 AM,"5,000",EE HPPWD Baijnath,Baijnath,No,SE JNR HPPWD Joginder Nagar,SE JNR HPPWD Joginder Nagar,1.0,work No 1 in NIT Not published,Other,,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid,Construction of Road from Sagoor to Dhanag via Nagan i/c Bridge over Binwa Khad at Khadiyal Km 0/0 to 4/360,"Improvement of road, Passing Places, R/Wall, CD Work, GSB, WBM-II, III, Tarring work, CC Pavement, Side Drain and Parapet Under Nabard RIDF XXVII). including 5 year routine maintenance after completion the work.)",Please refer Tender documents. ,NA ,"10,80,05,504",Civil Works - Roads,NA ,Tender,90.0,730.0,Dhanag,176125.0,NA ,NA ,NA ,SE JNR HPPWD Joginder Nagar,No ,No,"21,60,500",No,fixed,,EE HPPWD Baijnath,Baijnath,AOC
,,,,,2.0,251569.0,VP SHARMA,21-Dec-2021 04:59 PM,Accepted-AOC,Rejected due to L2,06-Apr-2022 04:53 PM,2.0,251569.0,VP SHARMA,INR,"114,934,919.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Demand Draft as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Bid Security as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.1.1 as per SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (c) SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek references from the Bidders bankers,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),,,,,,,,,,,,,,,,,,,,,,,,,AOC
