Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,Palampur Division HPPWD Palampur,500.0,Nil,Nil,No,"32,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,ICICI BANK,PWD,"Palampur Division, HPPWD Palampur",2021_PWD_54625_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/o Indoor Wards Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- Balance Work of Steel, truss, main porch, connecting passage, duck portion, pre-painted steel roofing, RCC work in outer side in enter connecting passage aluminium work SBD fi","C/o Indoor Wards Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- Balance Work of Steel, truss, main porch, connecting passage, duck portion, pre-painted steel roofing, RCC work in outer side in enter connecting passage aluminium work SBD fi",Please refer Tender documents. ,NA ,"16,04,342",Civil Works - Roads,NA ,Tender,120.0,120.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,24-Dec-2021 09:00 AM,31-Dec-2021 11:30 AM,24-Dec-2021 09:00 AM,31-Dec-2021 11:00 AM,NA ,NA ,24-Dec-2021 09:00 AM,31-Dec-2021 11:00 AM,03-Jan-2022 03:00 PM,AOC,PWD,2021_PWD_54625_2,"Palampur Division, HPPWD Palampur","C/o Indoor Wards Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- Balance Work of Steel, truss, main porch, connecting passage, duck portion, pre-painted steel roofing, RCC work in outer side in enter connecting passage aluminium work SBD fi",Er.B.M Thakur,Internal,"A/A, Supdt., HDM, Sr. DAO, AE Palampur, AE To EE",Manoj Sood,03-Jan-2022 10:39 AM,03-Jan-2022 03:00 PM,techsummary_82465.pdf (958.25 KB),Er.B.M Thakur,Internal,"T/A, Supdt, HDM, Sr. DAO, AE Plp, AE to EE",Manoj Sood,04-Jan-2022 01:15 PM,finsummary_82465.pdf (557.35 KB),27-Jan-2022,"INR 1,604,342",120.0,Manoj Sood,20-Apr-2022 03:39 PM,18109.pdf (645.00 KB),AOC,1.0,253275.0,C M RANA,INR,"2,207,408.2",Finance,Financial bid opening summary,Manoj Sood,04-Jan-2022 01:11 PM,finance_82465.pdf,BOQ Comparative Chart,1.0,253275.0,C M RANA,30-Dec-2021 03:51 PM,Accepted-AOC,L1,20-Apr-2022 03:39 PM,Technical,Technical evaluation,Manoj Sood,03-Jan-2022 10:33 AM,technical_82465.pdf,AOC
,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253277.0,Sunil Walia,30-Dec-2021 03:57 PM,Rejected-Finance,Bidder is found L2,04-Jan-2022 01:15 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
