Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
HPSEBL||CE(Gen) Sundernagar||SE(Gen) Bhaba Nagar,HPSEBL/SEGB/W-10(Ganvi Runner)/2021-22-03,2022_HPSEB_56322_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,"24,700",No,fixed,,Nil,Nil,1.0,Corrigendum3,Date,,1.0,ICICI BANK,SE,"Generation Circle, HPSEBL Bhabanagar-172115",02-Feb-2022 10:00 AM,03-Mar-2022 12:30 PM,02-Feb-2022 10:00 AM,02-Mar-2022 04:00 PM,NA ,NA ,02-Feb-2022 10:00 AM,02-Mar-2022 04:00 PM,03-Mar-2022 01:55 PM,1.0,Fee,.pdf,Tender fee,Repair of Runner,Repair of Runner,As per NIT ,NA ,,Repair and Maintenance Works,NA ,Tender,120.0,90.0,Ganvi,172101.0,NA ,NA ,NA ,Bhabanagar,No ,No,"2,800",Nil,Nil,No,AOC,Shamsher Singh Negi,Internal,"RE,AE,JE,Sr. Astt. Accounts",Shamsher Singh Negi,03-Mar-2022 02:11 PM,finsummary_84678.pdf (88.63 KB),1.0,264026.0,JWALA INDUSTRIES,INR,"905,355",HPSEBL||CE(Gen) Sundernagar||SE(Gen) Bhaba Nagar,2022_HPSEB_56322_1,HPSEBL/SEGB/W-10(Ganvi Runner)/2021-22-03,Repair of Runner,31-Mar-2022,"INR 905,355",90.0,Shamsher Singh Negi,05-Apr-2022 05:13 PM,AOC.pdf (5192.00 KB),Award letter attached,Finance,financial bid opening summary,Ashutosh Thakur,03-Mar-2022 02:07 PM,finance_84678.pdf,Technical,Technical Evaluation Summary,Ashutosh Thakur,03-Mar-2022 01:35 PM,technical_84678.pdf,Shamsher Singh Negi,Internal,"RE ,AE,JE,Sr. Astt. Accounts",Shamsher Singh Negi,03-Mar-2022 01:51 PM,03-Mar-2022 01:55 PM,techsummary_84678.pdf (88.63 KB),1.0,261288.0,Industrial Processors & Metallizers (P) Ltd,17-Feb-2022 03:39 PM,Rejected-Finance,Second lowest,03-Mar-2022 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,264026.0,JWALA INDUSTRIES,16-Feb-2022 05:41 PM,Accepted-AOC,accepted( L-1 firm),05-Apr-2022 05:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Proof of registration of firm,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Satisfactory Performance Certificate,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of major woks executed,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of facilities available for carrying out tests,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,list of key personal available,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial aspects of the tenderer as per NIT,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non-black listing,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney duly authorised by Notary to sign the bid,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
