Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
A. kalita,Internal,"S. Deka, G.C. Sarma, H.P. Mili",Priyanka Bora,19-Feb-2018 06:25 PM,19-Feb-2018 06:30 PM,techsummary_8786.pdf (54.61 KB),1.0,29530.0,Muhi Borgohain,INR,1955374.89,21-Jul-2018,INR 26119275.85,60.0,Priyanka Bora,21-Jul-2018 04:57 PM,18-5661.pdf (54.00 KB),Immediate measures for closing of breach and restoration of flood damages to the M/E along L/B of river Kumatiya from N.H-15 to Gurathali chapori under SDRF for 2017-18 ( Breach closing near Adarsha,Finance,Updated CS may be prepared,Priyanka Bora,20-Jul-2018 01:58 PM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5661_1,DHEMAJI/SDRF/2017-18/5,IM of river Kumatiya Pk-4,Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,19-Feb-2018 05:50 PM,technical_8786.pdf,1,29729,Arunmoni Phukan,18-Feb-2018 05:35 AM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,A. Kalita,Internal,"G. C. Sarma, S. Deka",Priyanka Bora,21-Jul-2018 04:42 PM,finsummary_8786.pdf (54.61 KB),AOC,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,DHEMAJI/SDRF/2017-18/5,2018_DoWR_5661_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,Cost of Tender and EMD,09-Feb-2018 06:00 PM,19-Feb-2018 02:00 PM,09-Feb-2018 06:00 PM,19-Feb-2018 02:00 PM,NA ,NA ,14-Feb-2018 10:00 AM,19-Feb-2018 02:00 PM,19-Feb-2018 06:30 PM,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,"5,22,386",Yes,percentage,2.0%,"The Executive Engineer, Dhemaji W.R. Division",Dhemaji,IM of river Kumatiya Pk-4,Immediate measures for closing of breach and restoration of flood damages to the M/E along L/B of river Kumatiya from N.H-15 to Gurathali chapori under SDRF for 2017-18 ( Breach closing near Adarsha gaon),Please refer Tender documents. ,NA ,"2,61,19,275",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,587057.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,"5,000","The Executive Engineer, Dhemaji W.R. Division",Dhemaji,No,AOC
,,,,,,,2.0,29598.0,HRIDAY-LAKHI-SUDIP-JV,INR,1974679.82,,,,,,,,,,,,,,,,,,,,,,,2,29754,Ashok Kumar Agarwalla,18-Feb-2018 01:05 PM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,29601.0,NAGENDRA BAGIRI,INR,1929035.27,,,,,,,,,,,,,,,,,,,,,,,3,29846,Ganga Pegu,19-Feb-2018 03:28 AM,Not Admitted-Fee,Insufficient Fee amount,19-Feb-2018 04:52 PM,,,,,,,AOC,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,29626.0,HARI CHAND SAH,INR,1933455.55,,,,,,,,,,,,,,,,,,,,,,,4,29626,HARI CHAND SAH,19-Feb-2018 01:57 PM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5.0,29692.0,PURNANANDA GOHAIN,INR,3802975.41,,,,,,,,,,,,,,,,,,,,,,,5,29598,HRIDAY-LAKHI-SUDIP-JV,17-Feb-2018 02:37 AM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6.0,29729.0,Arunmoni Phukan,INR,1953780.86,,,,,,,,,,,,,,,,,,,,,,,6,29877,Khagen Konch and Jayanta Dihingia (J V),19-Feb-2018 12:36 PM,Rejected-AOC,Official,21-Jul-2018 04:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7.0,29741.0,LALIT KUMAR AGARWALLA,INR,1965633.98,,,,,,,,,,,,,,,,,,,,,,,7,29858,KRISHNA KR. BANSAL RAHUL DIHINGIA JV,19-Feb-2018 08:07 AM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8.0,29749.0,M/S. M.P. AGARWALLA,INR,1934331.44,,,,,,,,,,,,,,,,,,,,,,,8,29741,LALIT KUMAR AGARWALLA,18-Feb-2018 09:56 AM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9.0,29754.0,Ashok Kumar Agarwalla,INR,1969081.65,,,,,,,,,,,,,,,,,,,,,,,9,29749,M/S. M.P. AGARWALLA,18-Feb-2018 12:23 PM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10.0,29805.0,Sanyug Enterprise Jayanta Khaund Joint Venture,INR,1918901.29,,,,,,,,,,,,,,,,,,,,,,,10,29530,Muhi Borgohain,18-Feb-2018 03:54 PM,Accepted-AOC,Proper,21-Jul-2018 04:57 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
