S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Bid Security/EMD/Performance security/Security Deposit,Fee,,1.0,DD - Demand Draft,"5,000","Executive Engineer, BaksAa WR Division, Mushalpur","SBI, Kokrajhar",No,Addl Chief Engineer,Office of the Addl CE Water Resources Deptt BTC Kokrajhar,"2,17,760",Yes,percentage,2.0%,"Executive Engineer, BaksAa WR Division, Mushalpur",Mushalpur,16-Dec-2017 02:00 PM,06-Jan-2018 11:00 AM,16-Dec-2017 03:00 PM,05-Jan-2018 03:00 PM,NA ,NA ,19-Dec-2017 10:00 AM,05-Jan-2018 03:00 PM,25-Jan-2018 05:30 PM,Bodoland Territorial Council-WRD,ACE/K/WR/e/A/100/2003d14/12/17,2017_BTCWR_4451_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,RIDF XXIII Suklai (Pk-3),A/E measures including closing avulsion of Suklai river on its B/B under Udalguri District. RIDF-XXIII (NABARD),Please refer Tender documents. ,NA ,"1,08,88,013",Civil Works,NA ,Tender,180.0,270.0,Dahalahabi,784509.0,NA ,NA ,NA ,Addl CE Office,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC,1,24752,ASHOK KUMAR BASUMATARY,04-Jan-2018 11:36 AM,Accepted-AOC,Found in order,17-Jul-2018 01:21 PM,1.0,24752.0,ASHOK KUMAR BASUMATARY,INR,9798672.64,Bodoland Territorial Council-WRD,2017_BTCWR_4451_2,ACE/K/WR/e/A/100/2003d14/12/17,RIDF XXIII Suklai (Pk-3),Finance,Bid opening summery for 2nd cover,Pitambar Deka Boro,06-Apr-2018 10:04 AM,finance_7134.pdf,BOQ Comparative Chart,17-Jul-2018,INR 10888013.69,270.0,Pitambar Deka Boro,17-Jul-2018 01:21 PM,SuklaiWO_Pk_3.pdf (1314.00 KB),A/E measures including closing avulsion of Suklai river on its B/B under Udalguri District.,Jolly Das Brahma Secy BTC,Internal,"Mr. Mohan Ch. Medhi CHD, Palashjyoti Goswami EE, Pitambar Deka Baro AEE",Pitambar Deka Boro,25-Jan-2018 05:22 PM,25-Jan-2018 05:30 PM,techsummary_7134.pdf (195.70 KB),"Mrs. Jolly Das Brahma, Secy, BTC",Internal,"Mr. Mohan Ch. Medhi, Mr. Palashjyoty Goswami, Sri Pitambar Deka Baro.",Pitambar Deka Boro,16-Jul-2018 12:33 PM,finsummary_7134.pdf (561.06 KB),Technical,Bid opening summery Suklai Pk-3,Pitambar Deka Boro,25-Jan-2018 04:53 PM,technical_7134.pdf,AOC
,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Documents,AOC,2,24845,BICHITRA BASUMATARY,04-Jan-2018 08:23 PM,Rejected-AOC,Not in order,17-Jul-2018 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Documents signed in each page,AOC,3,24813,DHARMA RABHA- RAHIN BASUMATARY - JV,04-Jan-2018 06:12 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,4,24737,KAMAL KUMAR GOEL,04-Jan-2018 04:53 AM,Rejected-AOC,Not in order,17-Jul-2018 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,24885,Kamini Kanta Basumatary,04-Jan-2018 11:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,24923,KATIRAM NARZARY,05-Jan-2018 09:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,24718,MADAN GOPLA AGARWALA,05-Jan-2018 02:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,24880,Md Gafur,04-Jan-2018 11:36 PM,Rejected-AOC,Not in order,17-Jul-2018 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,24851,Nelson Basumatary,05-Jan-2018 05:21 AM,Rejected-AOC,Not in order,17-Jul-2018 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,24874,Pabitra Boro,04-Jan-2018 10:45 PM,Rejected-AOC,Not in order,17-Jul-2018 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
