Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,000","The Executive Engineer, Dhemaji W.R. Division",Dhemaji,Yes,1.0,DD - Demand Draft,09-Feb-2018 06:00 PM,19-Feb-2018 02:05 PM,09-Feb-2018 06:05 PM,19-Feb-2018 02:00 PM,NA ,NA ,14-Feb-2018 10:00 AM,19-Feb-2018 02:00 PM,24-Mar-2018 06:40 PM,"1,62,719",Yes,percentage,2.0%,"The Executive Engineer, Dhemaji W.R. Division",Dhemaji,Department of Water Resources||Chief Engineer - DoWR,DHEMAJI/SDRF/2017-18/2,2018_DoWR_5654_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,IM at Sissikalghar to Tekeliphuta Pk-2,Immediate measures for restoration of damaged section of B/dyke from Sissikalghar to Tekeliphuta in between Ch. 0m - 6000m under SDRF for 2017-18.,Please refer Tender documents. ,NA ,"81,35,947",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,787057.0,NA ,NA ,NA ,O/O Chief Engineer Water Resources Department Chan,No ,No,1.0,Fee,.pdf,Cost of Tender and EMD,AOC,1,29791,BurabhakatBipul Basumatary,18-Feb-2018 07:07 PM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_5654_1,DHEMAJI/SDRF/2017-18/2,IM at Sissikalghar to Tekeliphuta Pk-2,AOC
,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,AOC,2,29820,DIBYA SARMAH ROSHAN SHARMA JOINT VENTURE,18-Feb-2018 11:41 PM,Accepted-AOC,Proper,13-Jul-2018 12:42 PM,,,,,AOC
,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,AOC,3,29355,FLEXITUFF PULIN BORGOHAIN JV,19-Feb-2018 10:34 AM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,29797,LAKHI DIHINGIA,18-Feb-2018 07:50 PM,Accepted-AOC,Proper,13-Jul-2018 12:42 PM,,,,,AOC
,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,29842,Moina Chetia,19-Feb-2018 03:04 AM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,29653,MR. ANIL CHUTIA,18-Feb-2018 02:52 PM,Accepted-AOC,Proper,13-Jul-2018 12:42 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,29722,MR. NABIN CHANDRA BORUAH,18-Feb-2018 04:01 AM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,29929,NAGENDRA BAGIRI,19-Feb-2018 01:41 PM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,29715,PURNANANDA GOHAIN,18-Feb-2018 03:01 AM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,29612,RAJIB SAHU,17-Feb-2018 11:25 AM,Rejected-AOC,Official,13-Jul-2018 12:42 PM,,,,,AOC
