Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage
Technical,Bid opening summery for 1st Cover,Pitambar Deka Boro,25-Jan-2018 03:40 PM,technical_7116.pdf,Bodoland Territorial Council-WRD,2017_BTCWR_4447_1,ACE/K/WR/e/A/100/2003d14/12/17,RIDF XXIII Suklai (PK-I),1,24803,Ashutosh Chakrabarty,04-Jan-2018 06:27 PM,Rejected-AOC,Not in order,17-Jul-2018 12:37 PM,AOC,RIDF XXIII Suklai (PK-I),A/E measures including closing avulsion of Suklai river on its B/B under Udalguri District. RIDF-XXIII (NABARD),Please refer Tender documents. ,NA ,"55,00,358",Civil Works,NA ,Tender,180.0,270.0,Dahalahabi,784509.0,NA ,NA ,NA ,"Addl CE Office, Kokrajhar",No ,No,16-Dec-2017 12:00 PM,06-Jan-2018 11:00 AM,16-Dec-2017 02:00 PM,05-Jan-2018 03:00 PM,NA ,NA ,19-Dec-2017 10:00 AM,05-Jan-2018 03:00 PM,25-Jan-2018 04:00 PM,"5,000","Executive Engineer, Baksa W.R. Division, Mushalpur","SBI, Kokrajhar",No,Bodoland Territorial Council-WRD,ACE/K/WR/e/A/100/2003d14/12/17,2017_BTCWR_4447_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Addl CE, Kokrajhar","Office of the Addl Chief Engineer, WR Deptt BTC Kokrajhar",1.0,Bid Security/EMD/Performance security/Security Deposit,Fee,,"1,10,007",Yes,percentage,2.0%,"Executive Engineer, Baksa W.R. Division, Mushalpur",Mushalpur,1.0,Fee/PreQual/Technical,.pdf,Tender fee and EMD,1.0,DD - Demand Draft,AOC
,,,,,,,,,2,24887,FWILAO BASUMATARY BHABADEV MAHANTA JV,05-Jan-2018 04:11 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 03:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical qualification documents,2.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,3,24922,KATIRAM NARZARY,05-Jan-2018 11:13 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 03:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender documents signed in each page,,,AOC
,,,,,,,,,4,24876,Md Gafur,05-Jan-2018 09:48 AM,Rejected-AOC,Not in order,17-Jul-2018 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,5,24849,Nelson Basumatary,05-Jan-2018 05:19 AM,Accepted-AOC,Qualified,17-Jul-2018 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,24861,Pabitra Boro,04-Jan-2018 10:17 PM,Rejected-AOC,Not in order,17-Jul-2018 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,24931,PADPL and S K Sharma JV,05-Jan-2018 10:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 03:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,24782,PRANESWAR DAIMARI,04-Jan-2018 03:57 PM,Rejected-AOC,Not in order,17-Jul-2018 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,24898,SAHIL AKHTAR,05-Jan-2018 10:10 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Jan-2018 03:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,24601,SRI CHANDIT KUMAR BARO,03-Jan-2018 08:27 AM,Rejected-AOC,Not in order,17-Jul-2018 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
