Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Chief Engineer, Water Resources Deptt","Office of the Chief Engineer,Water Resources Deptt,Chandmari, Guwahati-3","5,000","Executive Engineer, Dhemaji WR Division",Dhemaji,No,Kumatiya,Kumatiya,Please refer Tender documents. ,NA ,"10,60,75,563",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,787057.0,NA ,NA ,NA ,"Office of the Chief Engineer, Water Resources Dept",No ,No,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,Dhemaji/SDRF/2016-17/4,2017_DoWR_1892_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,fee details,14-Mar-2017 06:00 PM,24-Mar-2017 02:05 PM,14-Mar-2017 06:05 PM,24-Mar-2017 02:00 PM,NA ,NA ,19-Mar-2017 09:00 AM,24-Mar-2017 02:00 PM,28-Mar-2017 05:30 PM,"21,21,511",Yes,percentage,2.0%,"Executive Engineer, Dhemaji WR Division",Dhemaji,AOC,11-Jul-2018,INR 106075563.42,60.0,Priyanka Bora,11-Jul-2018 01:03 PM,17-1892.pdf (68.00 KB),Immediate measures for Closing of breach and restoration of flood damages to the M/E along L/B of river Kumatiya for 2016-17 (ch.5750m-10600m) under SDRF.,Department of Water Resources||Chief Engineer - DoWR,2017_DoWR_1892_1,Dhemaji/SDRF/2016-17/4,Kumatiya,Technical,Finincial bid of the succesfull bidder may be opened,Kishore kumar Baishya,28-Mar-2017 05:22 PM,technical_3112.pdf,1,11134,HORIZON MARKETING,24-Mar-2017 11:12 AM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,1.0,11059.0,S.A. ENTERPRISE,INR,5781614.36,Shelimuddin Ahmed,Internal,Rajendra Prasad Das Samiran Deka Bipul Kr. BHattacharyya H.P. Mili,Kishore kumar Baishya,28-Mar-2017 05:25 PM,28-Mar-2017 05:30 PM,techsummary_3112.pdf (483.23 KB),Finance,Updated CS may be prepared,Priyanka Bora,11-Jul-2018 12:55 PM,,BOQ Comparative Chart,S. Ahmed,Internal,Rajendra Prasad Das Samiran Deka Bipul Kr. BHattacharyya H.P. Mili,Priyanka Bora,11-Jul-2018 01:00 PM,finsummary_3112.pdf (54.61 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,technical,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,11143,Khagen Konch,24-Mar-2017 11:17 AM,Not Admitted-PreQual/Technical,,28-Mar-2017 05:22 PM,2.0,11104.0,NAGENDRA BAGIRI JITU HAZARIKA JOINT VENTURE,INR,5751444.22,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,3.0,Finance,.xls,financial,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,11071,Mr. Hari chand sah,22-Mar-2017 02:45 PM,Not Admitted-PreQual/Technical,,28-Mar-2017 05:22 PM,3.0,11108.0,Rohit Sah,INR,5713789.96,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,11133,M/s KALITA CONSTRUCTION,24-Mar-2017 01:12 AM,Not Admitted-PreQual/Technical,,28-Mar-2017 05:22 PM,4.0,11114.0,RAMSAGAR PRASAD,INR,33409685.58,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,11115,M/S. M.P. AGARWALLA,24-Mar-2017 11:50 AM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,5.0,11115.0,M/S. M.P. AGARWALLA,INR,33394251.67,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,11101,M/s Samco Construction Co,24-Mar-2017 01:00 PM,Not Admitted-Fee,,26-Mar-2017 11:29 AM,6.0,11134.0,HORIZON MARKETING,INR,5818363.32,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,11141,MUHI BORGOHAIN,24-Mar-2017 01:56 PM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,7.0,11141.0,MUHI BORGOHAIN,INR,5589865.19,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,11104,NAGENDRA BAGIRI JITU HAZARIKA JOINT VENTURE,24-Mar-2017 06:59 AM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,11114,RAMSAGAR PRASAD,23-Mar-2017 08:04 PM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,11108,Rohit Sah,23-Mar-2017 05:51 PM,Accepted-AOC,Proper,11-Jul-2018 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
