Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,Updated CS may be prepared,Priyanka Bora,04-Feb-2018 05:44 PM,finance_6580.pdf,BOQ Comparative Chart,A. Kalita,Internal,"Samiran Deka, Ganesh Sramah, Pulak Choudhary",Priyanka Bora,07-Jul-2018 12:11 PM,finsummary_6580.pdf (54.61 KB),Anil Kalita,Internal,"Samiran Deka, Ganesh Sramah, Pulak Choudhary",Priyanka Bora,04-Jan-2018 04:48 PM,04-Jan-2018 04:50 PM,techsummary_6580.pdf (47.97 KB),Department of Water Resources||Chief Engineer - DoWR,2017_DoWR_4072_1,BAR/RIDF-XXIII/1,Protection of Jadavpur,1.0,22912.0,KAMAL KAKATI,INR,3810189.0,Technical,Finincial bid of the succesfull bidder may be opened,Priyanka Bora,04-Jan-2018 04:32 PM,,1,23119,Ashit Roy,18-Dec-2017 12:50 PM,Accepted-AOC,Proper,07-Jul-2018 12:30 PM,07-Jul-2018,INR 29623068.36,180.0,Priyanka Bora,07-Jul-2018 12:30 PM,17-4072.pdf (323.00 KB),"Protection of Jadavpur , Dongra and its adjoining areas by channelization of river Brahmaputra and reclamation of eroded land within the reach.(Ph-I)",AOC,1.0,Fee,.pdf,Cost of Tender and EMD,"5,000","Executive Engineer, Barpeta WR Division",Barpeta,No,Protection of Jadavpur,"Protection of Jadavpur , Dongra and its adjoining areas by channelization of river Brahmaputra and reclamation of eroded land within the reach",Please refer Tender documents. ,NA ,"2,96,23,068",Civil Works,NA ,Tender,180.0,180.0,Barpeta,781315.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,BAR/RIDF-XXIII/1,2017_DoWR_4072_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,29-Nov-2017 06:00 PM,19-Dec-2017 02:05 PM,29-Nov-2017 06:05 PM,19-Dec-2017 02:00 PM,NA ,NA ,14-Dec-2017 10:00 AM,19-Dec-2017 02:00 PM,04-Jan-2018 04:50 PM,1.0,DD - Demand Draft,"5,92,461",Yes,percentage,2.0%,"Executive Engineer, Barpeta WR Division",Barpeta,Chief Engineer,O/O Chief Engineer Water Resources Department Chandmari,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,23081.0,Tarun Prasad Goswami-Farukar Rahman JV,INR,3804314.0,,,,,,2,23205,DAMBARU DHAR DAS,19-Dec-2017 11:52 AM,Accepted-AOC,Proper,07-Jul-2018 12:30 PM,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,23105.0,EKHO DAS,INR,3804314.0,,,,,,3,23105,EKHO DAS,18-Dec-2017 02:23 AM,Accepted-AOC,Proper,07-Jul-2018 12:30 PM,,,,,,,,AOC,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4.0,23119.0,Ashit Roy,INR,3810189.0,,,,,,4,23062,GAJIUL ALAM,16-Dec-2017 11:59 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Jan-2018 04:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5.0,23168.0,Kailash Chand Bagra,INR,3810189.0,,,,,,5,23168,Kailash Chand Bagra,18-Dec-2017 09:20 PM,Accepted-AOC,Proper,07-Jul-2018 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,6.0,23182.0,Suresh Tosniwal- Shree Construction JV,INR,3809899.0,,,,,,6,22912,KAMAL KAKATI,16-Dec-2017 04:36 PM,Accepted-AOC,Proper,07-Jul-2018 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,7.0,23205.0,DAMBARU DHAR DAS,INR,3810189.0,,,,,,7,23066,LEON & ASSOCIATES,17-Dec-2017 12:25 PM,Rejected-AOC,official,07-Jul-2018 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23128,MANOJ PATOWARY,18-Dec-2017 12:33 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Jan-2018 04:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23135,MOHAMMAD MANJUR ALAM,18-Dec-2017 05:18 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Jan-2018 04:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23181,Mrinal Jyoti das,19-Dec-2017 10:42 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Jan-2018 04:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
