Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,000","Director of A.H. and Veterinary Department, Assam",Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"Directorr of A.H. and Veterinary Dept, Assam","Directorectorate of A.H. and Veterinary Department, Chenikuthi, Assam","5,000",Yes,fixed,,"Director of A.H. and Veterinary Department, Assam",Guwahati,"E-TENDER FOR ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. and VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2018-19","E-TENDER FOR ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. and VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2018-19",Please refer Tender documents. ,NA ,0.0,Medicines,NA ,Rate Contract,365.0,365.0,Guwahati,781003.0,Directorectorate of A.H. and Vet Dept Chenikuthi ,"Directorectorate of A.H. and Veterinary Department, Chenikuthi, Assam  ",14-May-2018 12:00 PM ,Directorectorate of A.H. and Vet Dept Chenikuthi,No ,No,07-May-2018 04:00 PM,20-Jun-2018 11:00 AM,07-May-2018 04:00 PM,19-Jun-2018 06:55 PM,NA ,NA ,08-May-2018 12:00 PM,19-Jun-2018 06:55 PM,26-Jul-2018 01:15 PM,1.0,DD - Demand Draft,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,"CVS/P-5/Pt-1/2018-19/102 Dated, 5/05/2018",2018_AHVD_7114_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Extension of date,Date,,AOC,Finance,Financial Bid Opening summary,Pratul Mahanta,04-Sep-2018 12:50 PM,finance_10729.pdf,BOQ Comparative Chart,1,37229,Allied Associates,15-Jun-2018 02:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Jul-2018 01:11 PM,Director,Internal,,Pratul Mahanta,04-Sep-2018 01:22 PM,finsummary_10729.pdf (5176.80 KB),04-Sep-2018,INR 5.49E+7,365.0,Pratul Mahanta,04-Sep-2018 01:34 PM,AOC.pdf (5237.00 KB),Notification of Award,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,2018_AHVD_7114_1,"CVS/P-5/Pt-1/2018-19/102 Dated, 5/05/2018","E-TENDER FOR ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. and VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2018-19",1.0,35700.0,BRILLIANT BIO PHARMA PRIVATE LIMITED,INR,525000.0,Technical,Technical evaluation report,Pratul Mahanta,26-Jul-2018 01:11 PM,technical_10729.pdf,"Anup Kr. Das, Director",Internal,,Pratul Mahanta,26-Jul-2018 01:13 PM,26-Jul-2018 01:15 PM,techsummary_10729.pdf (6191.75 KB),AOC
,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,2.0,Corrigendum,Technical Bid,,AOC,,,,,,,2,36532,Ashish Life Science Private Limited,01-Jun-2018 03:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Jul-2018 01:11 PM,,,,,,,,,,,,,,,,,,2.0,35864.0,M/s Guwahati Pharma Vet Agency,INR,3100000.0,,,,,,,,,,,,,AOC
,,,,,,.pdf,Supporting Documents as per the Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,37421,BIO-CARE ASSOCIATES,19-Jun-2018 02:21 PM,Rejected-Finance,Financially Rejected,04-Sep-2018 01:22 PM,,,,,,,,,,,,,,,,,,3.0,36538.0,Indian Herbs Specialities Pvt.Ltd.,INR,2425000.0,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,35700,BRILLIANT BIO PHARMA PRIVATE LIMITED,14-Jun-2018 10:59 AM,Accepted-AOC,Awarded,04-Sep-2018 01:34 PM,,,,,,,,,,,,,,,,,,4.0,37190.0,INDOMA MARINE PVT. LTD.,INR,400000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,36538,Indian Herbs Specialities Pvt.Ltd.,19-Jun-2018 12:53 PM,Accepted-AOC,Awarded,04-Sep-2018 01:34 PM,,,,,,,,,,,,,,,,,,5.0,37194.0,THE HIMALAYA DRUG COMPANY,INR,2524000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,37400,INDO CONS AGE SERVICES,19-Jun-2018 10:57 AM,Rejected-Finance,Financially Rejected,04-Sep-2018 01:22 PM,,,,,,,,,,,,,,,,,,6.0,37215.0,M/S KAY AND KAY TRADING CO.,INR,1600000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,37190,INDOMA MARINE PVT. LTD.,19-Jun-2018 06:46 PM,Accepted-AOC,Awarded,04-Sep-2018 01:34 PM,,,,,,,,,,,,,,,,,,7.0,37234.0,M/S RASHMITA DRUGS AND SURGICALS,INR,1000000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,37428,INDO MARKETING SERVICES,19-Jun-2018 04:13 PM,Accepted-AOC,Awarded,04-Sep-2018 01:34 PM,,,,,,,,,,,,,,,,,,8.0,37254.0,SAFECON LIFESCIENCES,INR,5800000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,37418,Mahabir Pharma & Surgical,19-Jun-2018 01:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Jul-2018 01:11 PM,,,,,,,,,,,,,,,,,,9.0,37420.0,m/s Assam Manufacturer Repacking & Distributors,INR,500000.0,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,37396,M/S A D Enterprise,19-Jun-2018 12:18 AM,Rejected-Finance,Financially Rejected,04-Sep-2018 01:22 PM,,,,,,,,,,,,,,,,,,10.0,37428.0,INDO MARKETING SERVICES,INR,1000000.0,,,,,,,,,,,,,AOC
