Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
S. Shyam,Internal,,CHANDAN DEKA,13-Sep-2023 04:04 PM,finsummary_48705.pdf (734.26 KB),Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,2023_PWD_30321_22,CE/Commn/01/ RIDF-XXVIII/2022-23/5,RE/RIDF-XXVIII/Jania/1,13-Sep-2023,INR 3.29958E+7,365.0,CHANDAN DEKA,13-Sep-2023 04:05 PM,jania_npw.pdf (734.00 KB),1.0,183921.0,Uttam Karmakar,INR,32995800.0,Technical,Technically Qualified,CHANDAN DEKA,09-May-2023 05:03 PM,,S. Shyam,Internal,,CHANDAN DEKA,10-May-2023 10:54 AM,10-May-2023 11:00 AM,techsummary_48705.pdf (98.64 KB),Finance,Financial,CHANDAN DEKA,10-May-2023 04:09 PM,,BOQ Comparative Chart,1,183813,BISWADEV DAS,19-Apr-2023 05:32 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,"Chief Engineer, PWRD, Assam, Chandmari, Ghy-03","O/o Chief Engineer, PWRD, Assam, Chandmari, Ghy-03",RE/RIDF-XXVIII/Jania/1,Construction of road cum embankment on M/E along R/B of river Beki at Bordonga under RIDF-XXVIII of NABARD for the year 2022-23,Please refer Tender documents. ,NA ,"3,66,62,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Jania,781314.0,NA ,NA ,NA ,"O/o Chief Engineer, PWRD, Assam, Chandmari, Ghy-03",No ,No,1.0,Fee/PreQual/Technical,.pdf,Payment Status,04-Apr-2023 04:00 PM,24-Apr-2023 02:30 PM,04-Apr-2023 04:00 PM,24-Apr-2023 02:00 PM,04-Apr-2023 04:00 PM ,24-Apr-2023 12:00 PM ,04-Apr-2023 04:00 PM,24-Apr-2023 02:00 PM,10-May-2023 11:00 AM,1.0,SBI Bank,"7,33,000",Yes,fixed,,Nil,Nil,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,CE/Commn/01/ RIDF-XXVIII/2022-23/5,2023_PWD_30321_22,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"10,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,184299,Dhrubajyoti Dutta,23-Apr-2023 08:15 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical qualification details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,184406,Md Nabirul Islam,24-Apr-2023 01:18 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,184110,Mrinal Jyoti das,21-Apr-2023 02:50 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,182886,M/S Royal Smart Construction,23-Apr-2023 04:22 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quanitity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,182856,Norul Hassan Ahmed,21-Apr-2023 01:40 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,184359,ROHIT AGARWALA,23-Apr-2023 07:15 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,183964,SHRISTI ENTERPRISE,23-Apr-2023 01:38 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,182890,SKYWAY INFRASTRUCTURE,23-Apr-2023 04:38 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,183098,Sofiqul Islam,23-Apr-2023 07:09 PM,Rejected-AOC,Not awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,183921,Uttam Karmakar,23-Apr-2023 06:16 PM,Accepted-AOC,Awarded,13-Sep-2023 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
