Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Receipt of Tender form cost and EMD indicated in schedule E.,1.0,ICICI BANK,Executive Engineer,"Division No.1, HPPWD Bilaspur",PWD,PW-BLP1-CB-eporc/23-766-810 dated 21.04.23,2023_PWD_72623_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of new GNM Training School at Regional Hospital Bilaspur.,Building portion etc.,Please refer Tender documents. ,NA ,"8,14,64,397",Civil Works - Buildings,Building portion etc. ,Tender,75.0,548.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,29-Apr-2023 01:00 PM,09-May-2023 11:00 AM,29-Apr-2023 01:00 PM,09-May-2023 10:30 AM,NA ,NA ,29-Apr-2023 01:00 PM,09-May-2023 10:30 AM,30-May-2023 05:05 PM,"5,000",Nil,Nil,No,"5,00,000",No,fixed,,Nil,Nil,Executive Engineer,Internal,HDM DAO SUPDT AE2,Rohit Gupta,30-May-2023 05:03 PM,30-May-2023 05:05 PM,techsummary_109222.pdf (773.77 KB),PWD,2023_PWD_72623_1,PW-BLP1-CB-eporc/23-766-810 dated 21.04.23,Construction of new GNM Training School at Regional Hospital Bilaspur.,27-Sep-2023,"INR 81,464,397",548.0,Manohar Lal Sharma,27-Sep-2023 06:15 PM,GNMAWARD.pdf (740.00 KB),Award letter dated 16/09/2023,Executive Engineer,Internal,HDM DAO SUPDT AE2BLP,Rohit Gupta,31-May-2023 04:55 PM,finsummary_109222.pdf (466.98 KB),1.0,345698.0,JEET KUMAR GUPTA,INR,"63,208,226",Finance,Financial bid opening summary,Rohit Gupta,31-May-2023 04:50 PM,finance_109222.pdf,BOQ Comparative Chart,1,345451,Ajay Handa,09-May-2023 07:53 AM,Rejected-Technical,Non Responsive,30-May-2023,Technical,Technical bid summary,Gurminder Singh,25-May-2023 05:18 PM,technical_109222.pdf
,,.pdf,Contractor Registration.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,345698,JEET KUMAR GUPTA,08-May-2023 10:13 PM,Accepted-AOC,Due to L1,27-Sep-2023,,,,,
,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,345115,Madan Builders,07-May-2023 11:41 AM,Rejected-Finance,Due to L2,31-May-2023,,,,,
,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,345607,M/S BALDEV KUMAR GOVT. CONTRACTOR,06-May-2023 06:16 PM,Rejected-Technical,Non Responsive,30-May-2023,,,,,
,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,345995,M/S NDN Constructions,09-May-2023 09:22 AM,Rejected-Technical,Non Responsive,30-May-2023,,,,,
,,.pdf,"Detail of machinery, tools plants, lab Equipments as per Clause of GCC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,345927,M/S STRIKER & BROS,09-May-2023 09:49 AM,Rejected-Finance,Due to L4,31-May-2023,,,,,
,,.pdf,"Affidavit of No relative, technical personals and no litigation with the department.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,345673,SHIV RAM,08-May-2023 10:44 PM,Rejected-Technical,Non Responsive,30-May-2023,,,,,
,,.pdf,Financial turnover for last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,345998,Suket Construction Co. Pvt. Ltd.,08-May-2023 06:09 PM,Rejected-Finance,Due to L2,31-May-2023,,,,,
,,.pdf,Working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,345573,VIJAY KAPOOR CONSTRUCTIONS,08-May-2023 04:25 PM,Rejected-Finance,Due to L2,31-May-2023,,,,,
,,.pdf,Form No7and 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,345964,VIPUL CONSTRUCTIONS,09-May-2023 08:51 AM,Rejected-Finance,Due to L6,31-May-2023,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,345882,Virender Kumar Modgil,08-May-2023 07:08 PM,Rejected-Finance,Due to L9,31-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,345155,VISHWA BHUMI ENGINEERS P LTD,08-May-2023 03:49 PM,Rejected-Finance,Due to L5,31-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,345886,YOG RAJ SHARMA,08-May-2023 03:55 PM,Rejected-Finance,Due to L8,31-May-2023,,,,,
