Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
500.0,Nil,Nil,Yes,1.0,ICICI BANK,PWD,CHD_2462-2561_3,2023_PWD_75420_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,M/T on link road to H.B. Kharu G.P. Deot km. 0/0 to 0/405,"SH M/T in between km. 0/0 to 0/405, R/wall in between km. 0/220 to 0/232 and parapets) under SCDP",As per SBD ,NA ,"9,47,003",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,23-Jun-2023 05:00 PM,03-Jul-2023 11:00 AM,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,NA ,NA ,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,14-Jul-2023 02:15 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,Executive Engineer,Chopal Division HPPWD Chopal,"19,000",Yes,fixed,,Nil,Nil,Er Rakesh Thakur EE,Internal,AE HDM Superintendent Gr II,Prem Prakash Amrate,14-Jul-2023 02:10 PM,14-Jul-2023 02:15 PM,techsummary_113003.pdf (468.25 KB),PWD,2023_PWD_75420_1,CHD_2462-2561_3,M/T on link road to H.B. Kharu G.P. Deot km. 0/0 to 0/405,11-Sep-2023,"INR 993,880",90.0,Prem Prakash Amrate,11-Sep-2023 04:58 PM,AOC_75420_HBKharu.pdf (826.00 KB),Work awarded to lowest bidder vide letter No. PW.CHD.CB.E-9/2023-5366-71 Dated 10.08.2023,Er Rakesh Kumar,Internal,"AE, HDM and Supdt. Gr.II",Prem Prakash Amrate,11-Sep-2023 04:50 PM,finsummary_113003.pdf (468.25 KB),1.0,357679.0,Rai Singh,01-Jul-2023 01:06 PM,Rejected-Finance,2nd lowest,11-Sep-2023,Technical,TER,Prem Prakash Amrate,14-Jul-2023 01:22 PM,technical_113003.pdf,Finance,Financial bid summary,Prem Prakash Amrate,06-Sep-2023 12:23 PM,finance_113003.pdf,BOQ Comparative Chart,1.0,357739.0,Shanta Jandev,INR,"993,880"
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357739.0,Shanta Jandev,30-Jun-2023 05:51 PM,Accepted-AOC,1st lowest bidder,11-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
