Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,TER,Prem Prakash Amrate,15-Jul-2023 04:33 PM,technical_112991.pdf,1.0,357867.0,BASANT SINGH,01-Jul-2023 03:52 PM,Rejected-Finance,Rejected,06-Sep-2023,Finance,Financial bid report,Prem Prakash Amrate,06-Sep-2023 12:17 PM,finance_112991.pdf,BOQ Comparative Chart,1.0,357433.0,BHARAT BHUSHAN,INR,"1,002,096",Er Rakesh Kumar,Internal,AE HDM Supdt Gr.II,Prem Prakash Amrate,06-Sep-2023 01:03 PM,finsummary_112991.pdf (468.25 KB),06-Sep-2023,"INR 102,096",90.0,Prem Prakash Amrate,06-Sep-2023 01:23 PM,AOC_75412_Piplah_Jhandua.pdf (830.00 KB),"Work awarded to Sh. Bharat Bhushan, Govt. Contractor.",PWD,2023_PWD_75412_1,CHD_2462-2561_2,M/T on road from Piplah to Jhandua via Chhanog km. 0/0 to 4/500,Er Rakesh Thakur,Internal,AE HDM and Superintendent Gr II,Prem Prakash Amrate,15-Jul-2023 04:46 PM,15-Jul-2023 04:50 PM,techsummary_112991.pdf (468.25 KB),Executive Engineer,Chopal Division HPPWD Chopal,23-Jun-2023 05:00 PM,03-Jul-2023 11:00 AM,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,NA ,NA ,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,15-Jul-2023 04:50 PM,PWD,CHD_2462-2561_2,2023_PWD_75412_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,M/T on road from Piplah to Jhandua via Chhanog km. 0/0 to 4/500,SH Providing laying and spreading Grading-I in between km. 0/0 to 1/400 under SCDP,As per SBD ,NA ,"11,38,746",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"23,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,500.0,Nil,Nil,Yes
,,,,,2.0,357433.0,BHARAT BHUSHAN,29-Jun-2023 12:04 PM,Accepted-AOC,L1,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,
,,,,,3.0,357655.0,Sunny Chauhan,01-Jul-2023 09:14 AM,Rejected-Finance,Rejected,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work.",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,
