Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_73867_1,OCN/DB-27/NIT-No-09/2023-24,OCN/DB-27/NIT-No-09/2023-24,1.0,351231.0,Chaman Lal Electrical and Hardware Contractor,INR,"2,330,119",Er. Darshan Singh,Internal,AAO AO/Sr. XEN and CHDM,Darshan Singh,06-Jun-2023 06:29 PM,finsummary_110928.pdf (214.33 KB),12-Sep-2023,"INR 2,330,119",60.0,Darshan Singh,12-Sep-2023 11:45 AM,LOA.pdf (342.00 KB),"LOA Issued to M/s Chaman Lal amounting to Rs. 23,30,119/- (Twenty-Three Lac Thirty Thousand One Hundred Ninteen only)",Finance,price bid opened,Darshan Singh,06-Jun-2023 05:16 PM,,BOQ Comparative Chart,Technical,Techno-Commercial bid opened,Darshan Singh,03-Jun-2023 03:45 PM,,Er. Darshan Singh,Internal,AO/Sr. XEN AAO and CHDM,Darshan Singh,06-Jun-2023 04:56 PM,06-Jun-2023 05:00 PM,techsummary_110928.pdf (150.14 KB),1.0,351231.0,Chaman Lal Electrical and Hardware Contractor,03-Jun-2023 10:47 AM,Accepted-AOC,L1,12-Sep-2023,"1,180",Nil,Nil,No,OCN/DB-27/NIT-No-09/2023-24,"E-Tender Partial Turn Key Basis for prov. 11 KV Panel I/O at 2x6.30 MVA Aug. of Existing 11 KV HT Line at new 400 KVA S/Stn. and LT Line of LWSS Kandiu-Sundradi, naya and Kunhat in tehsil Shillai (Ch to Deposit Scheme)",License registered with CEI of HP and Work experience of similar nature of work as per SBD Volume-1  ,NA ,"26,47,863",Electrical Works,S/Stn Work ,Tender,90.0,90.0,Shillai,173027.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,1.0,corigendum,Date,,1.0,ICICI BANK,25-May-2023 09:00 AM,03-Jun-2023 03:30 PM,26-May-2023 09:00 AM,03-Jun-2023 12:00 PM,25-May-2023 10:00 AM ,01-Jun-2023 05:00 PM ,26-May-2023 10:00 AM,03-Jun-2023 12:00 PM,06-Jun-2023 05:00 PM,SE (OP) Circle Nahan,SE (OP) Circle Nahan,HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-09/2023-24,2023_HPSEB_73867_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"26,450",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351228.0,GIAN CHAND,03-Jun-2023 10:21 AM,Rejected-Finance,L3,06-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,License registered with CEI of HP,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351551.0,VINAY KUMAR SHARMA,03-Jun-2023 10:56 AM,Rejected-Finance,L2,06-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience of similar nature of work as per SBD Volume-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ITR/BID Capacity/Turn over duly verified by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavits as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint venture if applicable as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Techno-Commercial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bid Capacity as prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
