Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,501/2022,2022_HPSEB_61850_1,Yes,Open Tender,Lump-sum,Goods,2.0,No,No,Online,No,No,No,Er. K. K. Bhardwaj,"Superintending Engineer, Electrical System, HPSEBL Hamirpur","9,200",Yes,fixed,,Nil,Nil,1.0,Extension.,Date,,"Supply and Supervision of Erection, Testing and Commissioning of Battery Chargers","Design, Manufacture, Testing at Manufacturers works , delivery at F.O.R. destination stations and Supervision of Erection, Testing and Commissioning of Battery Chargers for various sub-stations in Himachal Pradesh.",As per Clause no. 9 of NIT ,NA ,"9,20,005",Electrical Work/ Equipment,Procurement of Battery Charger ,Tender,240.0,120.0,Hamirpur,177001.0,Hamirpur ,"O/o Superintending Engineer, Electrical System, HPSEBL Hamirpur ",27-Jun-2022 11:00 AM ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,List of Past Supplies,18-Jun-2022 11:40 AM,12-Sep-2022 03:00 PM,18-Jun-2022 11:45 AM,10-Sep-2022 01:00 PM,NA ,NA ,30-Jun-2022 09:00 AM,10-Sep-2022 01:00 PM,14-Oct-2022 03:30 PM,1.0,ICICI BANK,590.0,Nil,Nil,No,Er KK Bhardwaj,Internal,Sr XEN AE,Puneet Chaudhary,27-Sep-2023 12:48 PM,finsummary_93350.pdf (5963.10 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_61850_1,501/2022,"Supply and Supervision of Erection, Testing and Commissioning of Battery Chargers",1.0,292112.0,MAHA MAI ENGINEERS,INR,"1,244,053",27-Sep-2023,"INR 1,244,053",120.0,Puneet Chaudhary,27-Sep-2023 12:52 PM,SSD501.pdf (5963.00 KB),Award has been placed,Finance,Part-II bid opened,Narender Pal Abrol,14-Oct-2022 04:12 PM,finance_93350.pdf,BOQ Comparative Chart,Technical,The part-I bid has been opened,Narender Pal Abrol,12-Sep-2022 05:40 PM,technical_93350.pdf,Er. K.K. Bhardwaj,Internal,"SE, Sr. XEN, AE, AAO",Puneet Chaudhary,14-Oct-2022 03:28 PM,14-Oct-2022 03:30 PM,techsummary_93350.pdf (191.64 KB),1.0,296168.0,Banavathy Power Systems Private Limited,19-Aug-2022 09:27 PM,Rejected-Technical,Technically non responsive,14-Oct-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTPs,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292112.0,MAHA MAI ENGINEERS,20-Jul-2022 03:27 PM,Accepted-AOC,L-1 firm,27-Sep-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,TechnoCommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped (.rar) file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
