Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
500.0,Nil,Nil,No,"28,100",No,fixed,,Nil,Nil,PWD,No.PWC-WA-II/18051-18150 dated 21.2.23,2023_PWD_69652_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"A/R and M/O Karian to Bharian Kothi road Km. 0/0 to 2/400 (SH Construction of PCC Retaining wall at RD. 1/010-1/025,1/920-1/935 and 1/967-982)","A/R and M/O Karian to Bharian Kothi road Km. 0/0 to 2/400 (SH Construction of PCC Retaining wall at RD. 1/010-1/025,1/920-1/935 and 1/967-982)",Please refer Tender documents. ,NA ,"14,02,902",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,25-Feb-2023 10:00 AM,09-Mar-2023 11:30 AM,25-Feb-2023 10:00 AM,07-Mar-2023 05:00 PM,NA ,NA ,25-Feb-2023 10:00 AM,07-Mar-2023 05:00 PM,15-Mar-2023 11:30 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,1.0,330990.0,Darshan Kumar,04-Mar-2023 09:01 AM,Rejected-Finance,L5,25-Apr-2023,Technical,BOS,Jeet Singh Thakur,10-Mar-2023 07:53 PM,technical_105077.pdf,1.0,332509.0,Rakesh Kumar,INR,"1,141,068",Finance,Bid opening Summary,Kanav Barota,24-Mar-2023 05:03 PM,finance_105077.pdf,BOQ Comparative Chart,PWD,2023_PWD_69652_2,No.PWC-WA-II/18051-18150 dated 21.2.23,"A/R and M/O Karian to Bharian Kothi road Km. 0/0 to 2/400 (SH Construction of PCC Retaining wall at RD. 1/010-1/025,1/920-1/935 and 1/967-982)",EE,Internal,"A/R and M/O Karian to Bharian Kothi road Km. 0/0 to 2/400 (SH Construction of PCC Retaining wall at RD. 1/010-1/025,1/920-1/935 and 1/967-982)",Jeet Singh Thakur,10-Mar-2023 07:58 PM,15-Mar-2023 11:30 AM,techsummary_105077.pdf (270.17 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Kanav Barota,25-Apr-2023 05:50 PM,finsummary_105077.pdf (194.09 KB),13-Sep-2023,"INR 1,402,902",60.0,Rajeev Kumar,13-Sep-2023 12:51 PM,1593.pdf (761.00 KB),"A/R and M/O Karian to Bharian Kothi road Km. 0/0 to 2/400 (SH Construction of PCC Retaining wall at RD. 1/010-1/025,1/920-1/935 and 1/967-982)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money only mode through e-payment,2.0,332542.0,Divya Prasad,07-Mar-2023 01:14 PM,Rejected-Finance,L2,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),3.0,331451.0,RAJNI DEVI,04-Mar-2023 08:57 AM,Rejected-Finance,L6,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,4.0,332509.0,Rakesh Kumar,07-Mar-2023 12:09 PM,Accepted-AOC,Work completed,13-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail Work in hand /ongoing work,5.0,332310.0,SURJEET KUMAR GOVT CONTRACTOR,06-Mar-2023 05:43 PM,Rejected-Finance,L3,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,6.0,330928.0,Tilak Raj,02-Mar-2023 05:01 PM,Rejected-Finance,L4,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,.PWD form -7/8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
