Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
500.0,Nil,Nil,Yes,C/o Sainj Chopal Nerwa Feduj road km. 20/0 to 90/0,Extension of RCC slab culvert at R.D. 72/380,As per SBD ,NA ,"9,82,456",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,1.0,ICICI BANK,PWD,CHD_2462-2561_4,2023_PWD_75433_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Chopal Division HPPWD Chopal,23-Jun-2023 05:00 PM,03-Jul-2023 11:00 AM,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,NA ,NA ,23-Jun-2023 05:00 PM,01-Jul-2023 05:00 PM,17-Jul-2023 01:40 PM,"20,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,Finance,Financial bid opened on 17.07.2023,Prem Prakash Amrate,11-Sep-2023 05:55 PM,finance_113018.pdf,BOQ Comparative Chart,1.0,357431.0,BHARAT BHUSHAN,INR,"1,031,579",1.0,357934.0,BASANT SINGH,01-Jul-2023 04:24 PM,Rejected-Technical,Non responsive,17-Jul-2023,Technical,TER,Prem Prakash Amrate,17-Jul-2023 01:31 PM,technical_113018.pdf,1.0,Regarding on line selection of non responsive inadvertently,The Technical Evaluation Report of the contractor (Part-1) opened on 04.07.2023 and uploaded for opening of financial bids is required to be corrected as bidder-1 selected responsive and bidder-2 selected non responsive inadvertently.,17-Jul-2023 01:12 PM,Corrigendum.pdf ,262.12,Technical Opening,PWD,2023_PWD_75433_1,CHD_2462-2561_4,C/o Sainj Chopal Nerwa Feduj road km. 20/0 to 90/0,Er Rakesh Thakur,Internal,AE HDM and Superintendent Gr II,Prem Prakash Amrate,17-Jul-2023 01:39 PM,17-Jul-2023 01:40 PM,techsummary_113018.pdf (468.25 KB),Er Rakesh Kumar,Internal,HDM Superintendent Gr.II,Prem Prakash Amrate,11-Sep-2023 06:02 PM,finsummary_113018.pdf (237.97 KB),11-Sep-2023,"INR 1,031,579",90.0,Prem Prakash Amrate,11-Sep-2023 06:07 PM,AOC_75433_SCNF_72_380.pdf (857.00 KB),Work awarded to lowest bidder vide letter No.PW.CHD.CB.E-9/2023-10.08.2023
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,2.0,357431.0,BHARAT BHUSHAN,29-Jun-2023 12:17 PM,Accepted-AOC,1st lowest bidder.,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work.",,,,,,,,,,,,3.0,357871.0,Rai Singh,01-Jul-2023 03:02 PM,Rejected-Finance,2nd lowest,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
