Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
17-Feb-2023 09:00 AM,25-Feb-2023 11:00 AM,17-Feb-2023 09:00 AM,25-Feb-2023 10:30 AM,NA ,NA ,17-Feb-2023 09:00 AM,25-Feb-2023 10:30 AM,02-Mar-2023 11:30 AM,"53,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,AMP Thain to Bann road km 1/500 to 2/0.,2023_PWD_69104_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Annual Maintenance Plan for the year 2023-24 on various road Under Nadaun Sub Division,SH P/L 30mm thick Bituminous concrete Wet Mix Macadam WMM Priming coat Tack coat and Thermoplastic layer on VR Road,Pastal Bugdhar Baldook via Matroh road km 3/500 to 4/0 5/0 to 6/0 6/0 to 6/450 Thain to Bann road km 1/500 to 2/0 ,NA ,"30,44,715",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"1,000",Nil,Nil,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,ICICI BANK,Finance,Attached,Sanjay Katoch,15-Mar-2023 05:08 PM,finance_104157.pdf,BOQ Comparative Chart,1.0,328443.0,Rajinder Rana,INR,"2,588,007.67",1.0,328709.0,DEEPAK JOSHI,24-Feb-2023 06:52 PM,Rejected-Finance,l2,15-Mar-2023,Technical,Attached,Sanjay Katoch,01-Mar-2023 04:39 PM,technical_104157.pdf,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,01-Mar-2023 05:29 PM,02-Mar-2023 11:30 AM,techsummary_104157.pdf (949.12 KB),PWD,2023_PWD_69104_1,AMP Thain to Bann road km 1/500 to 2/0.,Annual Maintenance Plan for the year 2023-24 on various road Under Nadaun Sub Division,12-Sep-2023,"INR 2,588,007",30.0,Deepak Kapil,12-Sep-2023 07:35 PM,PastalBugdharAward.pdf (747.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,15-Mar-2023 06:11 PM,finsummary_104157.pdf (454.68 KB)
,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,328490.0,Karan Raj Singh,24-Feb-2023 04:50 PM,Rejected-Finance,l4,15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328721.0,MOHINDER PAL GOVT. CONTRACTOR,24-Feb-2023 04:07 PM,Rejected-Finance,l5,15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328838.0,MSC Roads and Bridges Private Limited,24-Feb-2023 07:04 PM,Rejected-AOC,l2,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,328443.0,Rajinder Rana,24-Feb-2023 11:06 AM,Accepted-AOC,l1,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,having NOC from HP State Pollution Control Board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
