S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,351567.0,M/s Suresh Pal,INR,"585,008",HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_73861_1,OCN/DB-27/NIT-No-06/2023-24,OCN/DB-27/NIT-No-06/2023-24,Er. Darshan Singh,Internal,AAO AO/Sr. XEN and CHDM,Darshan Singh,06-Jun-2023 06:35 PM,finsummary_110922.pdf (223.99 KB),Finance,price bid open,Darshan Singh,06-Jun-2023 05:18 PM,,BOQ Comparative Chart,Technical,Techno-Commercial bid opened,Darshan Singh,03-Jun-2023 03:50 PM,,12-Sep-2023,"INR 585,008",70.0,Darshan Singh,12-Sep-2023 11:37 AM,LOA.pdf (341.00 KB),"LOA Issued to M/s Suresh Pal Contractor amounting to Rs. 5,85,008/- (Five Lac Eighty-Five Thousand and Eight Only)",Er. Darshan Singh,Internal,AO/Sr. XEN AAO and CHDM,Darshan Singh,06-Jun-2023 05:01 PM,06-Jun-2023 05:05 PM,techsummary_110922.pdf (150.14 KB),1.0,351564.0,Chaman Lal Electrical and Hardware Contractor,03-Jun-2023 11:03 AM,Rejected-Finance,L4,06-Jun-2023,"5,910",No,fixed,,Nil,Nil,1.0,corigendum,Date,,590.0,Nil,Nil,No,SE (OP) Circle Nahan,SE (OP) Circle Nahan,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,1.0,ICICI BANK,OCN/DB-27/NIT-No-06/2023-24,E-Tender Partial Turn Key Basis for Construction of 11 KV HT and LT Line alongwith 63 KVA DTR at Drabil Khala under Electrical Sub-Division Shillai (Ch to LV Phase-II),A Class License Registered with CEI of HP ,NA ,"5,91,036",Electrical Works,HT LT and Sub-Station ,Tender,90.0,90.0,Shillai,173027.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-06/2023-24,2023_HPSEB_73861_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-May-2023 09:00 AM,03-Jun-2023 03:30 PM,26-May-2023 09:00 AM,03-Jun-2023 12:00 PM,25-May-2023 10:00 AM ,02-Jun-2023 03:00 PM ,26-May-2023 09:00 AM,03-Jun-2023 12:00 PM,06-Jun-2023 05:05 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351167.0,DHARMENDER VERMA,01-Jun-2023 10:29 AM,Rejected-Finance,L2,06-Jun-2023,,,,,,,,,,,,,,,,,,,.pdf,License registered with CEI of HP,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351224.0,GIAN CHAND,02-Jun-2023 06:44 PM,Rejected-Finance,L3,06-Jun-2023,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,351567.0,M/s Suresh Pal,03-Jun-2023 11:02 AM,Accepted-AOC,L1,12-Sep-2023,,,,,,,,,,,,,,,,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience of similar nature of work as per SBD Volume-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ITR/BID Capacity/Turn over duly verified by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavits as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint venture if applicable as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Techno-Commercial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bid Capacity as prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
