Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
500.0,Nil,Nil,No,1.0,ICICI BANK,20-May-2023 06:00 PM,29-May-2023 11:00 AM,20-May-2023 06:00 PM,28-May-2023 06:00 PM,NA ,NA ,20-May-2023 06:00 PM,28-May-2023 06:00 PM,14-Jun-2023 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,"29,200",No,fixed,,Nil,Nil,PWD,RD-CB-Teder/23-1596-1695 dated 04.05.23,2023_PWD_73506_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,RR damages to KansakotiKutaraDalgaon road,SH C 0 R.wall at RD 0.310 to 0.330 and B/Wall in PCC 1 4 8 at Rd 0.295 to 0.320),Please refer Tender documents. ,NA ,"14,56,858",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,EE HPPWD ROHRU,EE HPPWD ROHRU,1.0,349979.0,SACHIN NEGI,INR,"1,504,602",15-Sep-2023,"INR 1,504,602",60.0,Chuni Lal Azad,15-Sep-2023 05:08 PM,Corringendum.pdf (499.00 KB),AOC,PWD,2023_PWD_73506_14,RD-CB-Teder/23-1596-1695 dated 04.05.23,RR damages to KansakotiKutaraDalgaon road,Er. Rahul Sood,Internal,Er. C.L. Azad,Chuni Lal Azad,01-Jul-2023 03:00 PM,finsummary_110549.pdf (692.44 KB),Finance,Summery,Duni Chand Chauhan,14-Jun-2023 04:45 PM,finance_110549.pdf,BOQ Comparative Chart,1.0,348988.0,Punit Tegta,24-May-2023 04:29 PM,Rejected-Technical,Enlistment is not in order,14-Jun-2023,Technical,summery,Chuni Lal Azad,14-Jun-2023 12:44 PM,technical_110549.pdf,Er. Rahul Sood,Internal,Er. C.L. Azad . Naveen Chauan Vijay dhauta,Chuni Lal Azad,14-Jun-2023 01:48 PM,14-Jun-2023 02:00 PM,techsummary_110549.pdf (427.00 KB)
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,349964.0,RAJNEESH THAKUR,28-May-2023 05:34 PM,Rejected-Finance,2nd lowest,01-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,349979.0,SACHIN NEGI,28-May-2023 05:31 PM,Accepted-AOC,AOC,15-Sep-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
