EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"69,000",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",31-Jul-2023 05:00 PM,11-Aug-2023 11:00 AM,31-Jul-2023 05:00 PM,10-Aug-2023 05:00 PM,NA ,NA ,31-Jul-2023 05:00 PM,10-Aug-2023 05:00 PM,19-Aug-2023 01:05 PM,"C/o Flow Irrigation Scheme Gawar to Maswari at Village Maswari, G.P.Kot, Tehsil Balh , District Mandi (H.P.).","C/o Flow Irrigation Scheme Gawar to Maswari at Village Maswari, G.P.Kot, Tehsil Balh , District Mandi (H.P.).",Please refer Tender documents. ,NA ,"40,95,840",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Maswari, G.P.Kot, Tehsil Balh , District M",175027.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",07-Aug-2023 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).","1,500","District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-42/2023-595dt31.07.2023,2023_HPCDP_76956_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,1.0,DD - Demand Draft,Balbir Singh Thakur,Internal,Pawan Kumar Praveen Gupta Pradeep Sharma Yoginder Kaushal,Sonal Gupta,19-Aug-2023 04:23 PM,finsummary_115049.pdf (301.27 KB),1.0,365636.0,MOHAMMAD SALMAN,INR,"4,976,872",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_76956_2,F(5)-42/2023-595dt31.07.2023,"C/o Flow Irrigation Scheme Gawar to Maswari at Village Maswari, G.P.Kot, Tehsil Balh , District Mandi (H.P.).",Balbir Singh Thakur,Internal,Pawan Kumar Praveen Gupta Pradeep Kumar OM Prakash O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,19-Aug-2023 01:00 PM,19-Aug-2023 01:05 PM,techsummary_115049.pdf (1049.30 KB),1.0,365611.0,JITENDER KUMAR,10-Aug-2023 02:07 PM,Rejected-Finance,rejected,19-Aug-2023,19-Sep-2023,"INR 4,976,872",365.0,Sonal Gupta,19-Sep-2023 04:54 PM,gawar.pdf (2217.00 KB),Letter of Acceptance,Finance,Finnacial Statement,Sonal Gupta,19-Aug-2023 04:09 PM,finance_115049.pdf,BOQ Comparative Chart,Technical,Technical Evaluation,Sonal Gupta,19-Aug-2023 12:41 PM,technical_115049.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,2.0,365636.0,MOHAMMAD SALMAN,10-Aug-2023 04:01 PM,Accepted-AOC,Accept,19-Sep-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,3.0,365635.0,Shobha Ram,10-Aug-2023 02:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Aug-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,4.0,365679.0,Virender Singh Raghwa,10-Aug-2023 04:41 PM,Rejected-Finance,rejected,19-Aug-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
