Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sch,1.0,ICICI BANK,C/O Link road to Harizan Basti Village Bohan from Awahdevi Bye pass km. 0/0 to 2/500,SH C-O Single cell RCC box type culvert 3m x 3m on road km. at RD 1-432,Please refer Tender documents. ,NA ,"6,98,219",Civil Works,NA ,Tender,75.0,60.0,DIVISIONBHORANJ,176045.0,NA ,NA ,NA ,DIVISIONBHORANJ,No ,No,EXECUTIVEENGINEER,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",350.0,Nil,Nil,No,29-May-2023 09:00 AM,03-Jun-2023 11:30 AM,29-May-2023 09:30 AM,03-Jun-2023 10:30 AM,NA ,NA ,29-May-2023 10:00 AM,03-Jun-2023 10:30 AM,09-Jun-2023 11:30 AM,"14,000",No,fixed,,Nil,Nil,PWD,1224-31 dated 19.05.2023,2023_PWD_73880_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,351407.0,Sourav Thakur,INR,"670,290",Finance,SUMMARYATTACHED,Anil Kumar Sharma,14-Sep-2023 02:48 PM,finance_111074.pdf,BOQ Comparative Chart,1.0,351516.0,kalyan chauhan,03-Jun-2023 09:31 AM,Rejected-AOC,L2,14-Sep-2023,Technical,SUMMARYATTACHED,Anil Kumar Sharma,08-Jun-2023 08:45 AM,technical_111074.pdf,EXECUTIVEENGINEER,Internal,SUPDT HDM DAO AE TA,Anil Kumar Sharma,08-Jun-2023 08:47 AM,09-Jun-2023 11:30 AM,techsummary_111074.pdf (1707.65 KB),PWD,2023_PWD_73880_3,1224-31 dated 19.05.2023,C/O Link road to Harizan Basti Village Bohan from Awahdevi Bye pass km. 0/0 to 2/500,14-Sep-2023,"INR 670,290",60.0,Anil Kumar Sharma,14-Sep-2023 02:54 PM,738801A.pdf (986.00 KB),WORK AWARDED TO SH. SOURAV THAKUR VIDE NO. 2898-2905 DT. 30.06.2023,EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Anil Kumar Sharma,14-Sep-2023 02:50 PM,finsummary_111074.pdf (333.03 KB)
,,.pdf,Contractor Registration (General Rule No. 23),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351407.0,Sourav Thakur,03-Jun-2023 10:01 AM,Accepted-AOC,L1,14-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
