Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name
01-Sep-2023,"INR 5,482,508",60.0,Anil Kumar Sharma,01-Sep-2023 01:01 PM,72498AWARD.pdf (986.00 KB),WORK AWARDED TO ARITSOOD VIDE LETTER NO. 1123-29 DT. 18.05.2023,EE,Internal,AESUPDTHDMDAOTA,Krishan Bhardwaj,28-May-2023 06:30 AM,finsummary_109034.pdf (326.83 KB),EXECUTIVEENGINEER,Internal,AE DAO HDM SUPDT TA,Krishan Bhardwaj,09-May-2023 11:05 AM,11-May-2023 11:30 AM,techsummary_109034.pdf (2441.13 KB),PWD,2023_PWD_72498_1,PW-BHD-Tender/2023-473-76 dt. 20.04.2023,Up gradation from 50 Bedded to 100 bedded Civil hospital building at Bhoranj Distt Hamirpur,Finance,SUMMARYATTACHED,Krishan Bhardwaj,27-May-2023 09:00 PM,,BOQ Comparative Chart,1.0,345234.0,ARIT SOOD,INR,"5,482,508",Technical,SUMMARYATTACHED,Krishan Bhardwaj,08-May-2023 04:25 PM,,1.0,345268.0,Ambika Bhawani Constructions,05-May-2023 01:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,Up gradation from 50 Bedded to 100 bedded Civil hospital building at Bhoranj Distt Hamirpur,Providing and laying paver block in courtyard Sub Shed/Chajja and Ceiling in bathrooms,Please refer tender documents ,NA ,"52,23,923",Civil Works - Buildings,NA ,Tender,60.0,60.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,Exxecutive Engineer,HPPWD Division Bhoranj,27-Apr-2023 12:00 PM,06-May-2023 11:00 AM,27-Apr-2023 12:15 PM,06-May-2023 09:00 AM,NA ,NA ,27-Apr-2023 12:30 PM,06-May-2023 09:00 AM,11-May-2023 11:30 AM,"85,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,PW-BHD-Tender/2023-473-76 dt. 20.04.2023,2023_PWD_72498_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,345234.0,ARIT SOOD,05-May-2023 11:33 AM,Accepted-AOC,WORKAWARD,01-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,345368.0,MNBN Enterprises,06-May-2023 08:35 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, Labour license, PAN and EPF Number a/w latest return",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,345322.0,PIAR CHAND GOVT CONTRACTOR,05-May-2023 04:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,344889.0,SANJEEV KUMAR GOVT CONTRACTOR,02-May-2023 04:56 PM,Rejected-Finance,L2,28-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand Certificate duly signed by the concerned Authority/EE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7, 8 duly signed by the contractor",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial Turnover for at least five years duly verified/checked by the Charted Accountant.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,
