Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
500.0,Nil,Nil,No,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD, Sarkaghat",PWD,PW-SKT-CB-Tender/2023-24 7375-57 dt - 04.08.2023,2023_PWD_77877_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,"29,500",No,fixed,,Nil,Nil,Construction of Sita Nallah to GPS Upper Patti Km. 0/0 to 1/0,(SH- Providing and Laying GSB Cement Concrete Pavement at Various RD 0/050 to 0/193),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,90.0,60.0,Sakaghat,175024.0,NA ,NA ,NA ,Sakaghat,No ,No,1.0,ICICI BANK,22-Aug-2023 04:30 PM,28-Aug-2023 11:30 AM,22-Aug-2023 04:30 PM,28-Aug-2023 10:00 AM,22-Aug-2023 04:30 PM ,28-Aug-2023 10:00 AM ,22-Aug-2023 04:30 PM,28-Aug-2023 10:00 AM,11-Sep-2023 02:30 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,368496.0,Munshi Ram,INR,"1,428,931",Finance,Admitted,Chuni Lal Sharma,12-Sep-2023 05:04 PM,,BOQ Comparative Chart,1.0,368496.0,Munshi Ram,27-Aug-2023 11:02 AM,Accepted-AOC,L1,21-Sep-2023,Technical,Admitted,Chuni Lal Sharma,02-Sep-2023 01:52 PM,,PWD,2023_PWD_77877_1,PW-SKT-CB-Tender/2023-24 7375-57 dt - 04.08.2023,Construction of Sita Nallah to GPS Upper Patti Km. 0/0 to 1/0,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,11-Sep-2023 11:27 AM,11-Sep-2023 02:30 PM,techsummary_116260.pdf (1393.08 KB),"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,21-Sep-2023 07:46 PM,finsummary_116260.pdf (265.78 KB),21-Sep-2023,"INR 1,455,511",60.0,Chuni Lal Sharma,21-Sep-2023 07:48 PM,AOC.pdf (610.00 KB),Work Awarded to Contractor
,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,2.0,368481.0,Pawan Thakur,27-Aug-2023 10:34 AM,Rejected-Finance,L3,21-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,368621.0,PRATEEK THAKUR GOVT CONTRACTOR,26-Aug-2023 04:36 PM,Rejected-Technical,Not Qualified for opening of financial bid (Part- II of bid,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,368645.0,Sourabh Pathania Govt Contractor,26-Aug-2023 04:45 PM,Rejected-Finance,L2,21-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand and Work Done certificate General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 7/8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
