Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
EXECUTIVEENGINEER,Internal,SupdtHdmDao,Arvind Lakhanpal,02-Sep-2023 03:27 PM,finsummary_112584.pdf (611.39 KB),02-Sep-2023,"INR 2,379,336",60.0,Arvind Lakhanpal,02-Sep-2023 03:49 PM,Award.pdf (878.00 KB),Award,PWD,2023_PWD_75177_1,P/.L antiskid vetrified tiles in Satluj Hostal at,P/L Antiskid vetrified tiles in Satluj Hostal at Sanik School Sujanpur,EXECUTIVEENGINEER,Internal,DAOHDMSUPDT,Arvind Lakhanpal,01-Jul-2023 12:18 PM,03-Jul-2023 11:30 AM,techsummary_112584.pdf (304.47 KB),1.0,356021.0,PARMEET THAKUR,INR,"2,379,336.38",Finance,tchbid,Arvind Lakhanpal,02-Sep-2023 03:17 PM,finance_112584.pdf,BOQ Comparative Chart,Technical,technical bid,Arvind Lakhanpal,30-Jun-2023 06:07 PM,,1.0,355505.0,ANJU DEVI,20-Jun-2023 03:14 PM,Rejected-Technical,non-Responsive,01-Jul-2023,1.0,ICICI BANK,PWD,P/.L antiskid vetrified tiles in Satluj Hostal at,2023_PWD_75177_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,P/L Antiskid vetrified tiles in Satluj Hostal at Sanik School Sujanpur,P/L Antiskid vetrified tiles in Satluj Hostal at Sanik School Sujanpur,Please refer Tender documents. ,NA ,"22,66,035",Civil Works - Buildings,NA ,Tender,60.0,60.0,Tauni Devi,177023.0,NA ,NA ,NA ,Tauni Devi,No ,No,18-Jun-2023 09:00 AM,23-Jun-2023 11:00 AM,18-Jun-2023 09:00 AM,23-Jun-2023 10:30 AM,NA ,NA ,18-Jun-2023 09:00 AM,23-Jun-2023 10:30 AM,03-Jul-2023 11:30 AM,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Tauni Devi,"42,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form through online
,,,,,,,,,,,,,,,,,,,,,,,,2.0,356041.0,Vishal Gupta,INR,"2,413,326.9",,,,,,,,,,,,2.0,356021.0,PARMEET THAKUR,23-Jun-2023 09:32 AM,Accepted-AOC,L1,02-Sep-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD through online
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,356041.0,Vishal Gupta,23-Jun-2023 09:35 AM,Accepted-AOC,L2,02-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate ( Only Completed work)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant as per SBD with ownership documents/ Affidavit Magistrate/ Notary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder must upload the working programme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/ firm may like to be provide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
