Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address
Finance,SUMMARYATTACHED,Anil Kumar Sharma,14-Sep-2023 02:17 PM,finance_111075.pdf,BOQ Comparative Chart,1.0,351253.0,Ankita Dubey,INR,"705,593",Technical,SUMMARYATTACHED,Anil Kumar Sharma,08-Jun-2023 08:36 PM,technical_111075.pdf,1.0,351253.0,Ankita Dubey,03-Jun-2023 07:09 AM,Accepted-AOC,L1,14-Sep-2023,14-Sep-2023,"INR 705,593",60.0,Anil Kumar Sharma,14-Sep-2023 03:11 PM,73880AW.pdf (1206.00 KB),WORK AWARDED TO ANKITA DUBEY VIDE THIS OFFICE L. NO. 2845-52 DT. 30.06.2023,EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Anil Kumar Sharma,14-Sep-2023 02:20 PM,finsummary_111075.pdf (363.37 KB),EXECUTIVEENGINEER,Internal,SUPDT DAO HDM AE TA,Anil Kumar Sharma,08-Jun-2023 08:39 PM,09-Jun-2023 11:30 AM,techsummary_111075.pdf (1937.36 KB),PWD,2023_PWD_73880_4,1224-31 dated 19.05.2023,C-O M-T Link road to Village Tikkar via Talia in,1.0,ICICI BANK,29-May-2023 09:00 AM,03-Jun-2023 11:30 AM,29-May-2023 09:30 AM,03-Jun-2023 10:30 AM,NA ,NA ,29-May-2023 10:00 AM,03-Jun-2023 10:30 AM,09-Jun-2023 11:30 AM,"14,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,C-O M-T Link road to Village Tikkar via Talia in,(sh P/L GSB 0-25cm thick premix carpet in km 0-0 to 0-200,Please refer Tender documents. ,NA ,"6,98,607",Civil Works,NA ,Tender,75.0,60.0,divisionbhoranj,176045.0,NA ,NA ,NA ,divisionbhoranj,No ,No,PWD,1224-31 dated 19.05.2023,2023_PWD_73880_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sch,EXECUTIVEENGINEER,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj"
,,,,,,,,,,,,,,,,2.0,351219.0,PRATEEK THAKUR GOVT CONTRACTOR,02-Jun-2023 08:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,
,,,,,,,,,,,,,,,,3.0,351404.0,sumeet contractor,03-Jun-2023 07:11 AM,Rejected-AOC,L2,14-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,
