Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,21-Sep-2023 11:16 AM,finsummary_116731.pdf (188.11 KB),23-Sep-2023,"INR 3,747,764",45.0,Vinod Shyam,23-Sep-2023 03:04 PM,1.pdf (673.00 KB),PWD,2023_PWD_78251_4,PW-KD-E-TENDER/2023-24-2591-95 DTD 28-8-2023,R/R Damages on Kokunalla Dharonk road in K.M. 0/00 to 8/500 and R/R Damages on mahasu VAlley road in K.M.. 0/00 to 12/00,Executive Engineer,Internal,"XEN, AE, Supdt. Gr-II, HDM",Vinod Shyam,16-Sep-2023 01:20 PM,16-Sep-2023 01:25 PM,techsummary_116731.pdf (8088.17 KB),1.0,370636.0,Dixit Keprate,INR,"3,929,308",Finance,summary updated,Vinod Shyam,21-Sep-2023 11:13 AM,finance_116731.pdf,BOQ Comparative Chart,Technical,Summary Updated,Vinod Shyam,16-Sep-2023 01:18 PM,technical_116731.pdf,1.0,370636.0,Dixit Keprate,08-Sep-2023 12:27 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,23-Sep-2023,R/R Damages on Kokunalla Dharonk road in K.M. 0/00 to 8/500 and R/R Damages on mahasu VAlley road in K.M.. 0/00 to 12/00,Wing Wall and D/S toe wall at R.D. 7/140 and 7/515 and R/Wall at R.d. 6/105 to 6/155 AND C/o R/Wall at R.D. 1/290 to 1/300 and 1/630 to 1/645 and 4/012 to 4/026,Please refer Tender documents. ,NA ,"37,47,764",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"1,500",Nil,Nil,No,PWD,PW-KD-E-TENDER/2023-24-2591-95 DTD 28-8-2023,2023_PWD_78251_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"74,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,HPPWD DIVISION kOTKHAI,02-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,02-Sep-2023 11:00 AM,08-Sep-2023 06:00 PM,NA ,NA ,02-Sep-2023 11:00 AM,08-Sep-2023 06:00 PM,16-Sep-2023 01:25 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370509.0,RAJEEV CHAUHAN,07-Sep-2023 04:00 PM,Rejected-Finance,L2 BIDDER,21-Sep-2023,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
