Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,Elect. Division HPPWD Palampur,2023_PWD_72650_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"58,900",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,"C/O Auditorium Project at Chamba Himachal Pradesh (SH- Providing variable refrigeration volume/flow based HVAC system therein in museum, Library and art gallery)","C/O Auditorium Project at Chamba Himachal Pradesh (SH - Providing variable refrigeration volume/flow based HVAC system therein in museum, Library and art gallery)",Please refer Tender documents. ,NA ,"29,40,843",Electrical Works,NA ,Tender,120.0,365.0,"Chamba, Distt. Chamba",176310.0,NA ,NA ,NA ,Palampur,No ,No,"1,500",Nil,Nil,No,01-May-2023 05:00 PM,09-May-2023 11:30 AM,01-May-2023 05:00 PM,09-May-2023 11:00 AM,NA ,NA ,01-May-2023 05:00 PM,09-May-2023 11:00 AM,20-May-2023 11:30 AM,Finance,as per uploaded document,Dalip singh Patial,20-May-2023 03:51 PM,finance_109267.pdf,BOQ Comparative Chart,1.0,345928.0,PRINCE AIRCON,INR,"2,905,553",1.0,345335.0,ESS ESS ENTERPRISES AND ELECTRONICS,08-May-2023 06:19 PM,Rejected-Finance,L2,20-May-2023,Technical,as per uploaded document,Dalip singh Patial,19-May-2023 07:57 AM,technical_109267.pdf,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,19-May-2023 07:58 AM,20-May-2023 11:30 AM,techsummary_109267.pdf (252.63 KB),PWD,2023_PWD_72650_1,Elect. Division HPPWD Palampur,"C/O Auditorium Project at Chamba Himachal Pradesh (SH- Providing variable refrigeration volume/flow based HVAC system therein in museum, Library and art gallery)",27-Sep-2023,"INR 2,940,843",365.0,Dalip singh Patial,27-Sep-2023 03:50 PM,award.pdf (1152.00 KB),awarded to the lowest bidder,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,20-May-2023 03:54 PM,finsummary_109267.pdf (22.47 KB)
,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,345928.0,PRINCE AIRCON,08-May-2023 06:11 PM,Accepted-AOC,L1,27-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Financial Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the bidder regarding erection commissioning and testing as per tender document P-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Gen. Declaration by the bidder duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
