Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File
Er. Pawan,Internal,Er C.Ll,Chuni Lal Azad,20-Sep-2023 09:14 AM,finsummary_66449.pdf (432.55 KB),20-Sep-2023,"INR 4,508,120",90.0,Chuni Lal Azad,20-Sep-2023 09:15 AM,Kisahoir.pdf (433.00 KB),AOC,PWD,2021_PWD_44336_2,PW-RD-GA-18945-19044dt1-2-21,C/O PCC Protection wall behind ITI Building at Tikkar,PAWAN KUMAR,Internal,Manoj kumar,Pawan Kumar Garg,22-Feb-2021 03:44 PM,22-Feb-2021 04:00 PM,techsummary_66449.pdf (95.31 KB),Technical,Bid Opening Summary,Pawan Kumar Garg,22-Feb-2021 03:42 PM,technical_66449.pdf,1.0,198904.0,JAGMOHAN CHAUHAN,17-Feb-2021 12:13 PM,Accepted-AOC,AOC,20-Sep-2023,Finance,Bid Opening Summary,Duni Chand Chauhan,22-Feb-2021 05:03 PM,finance_66449.pdf,BOQ Comparative Chart,1.0,198904.0,JAGMOHAN CHAUHAN,INR,"4,508,120",E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,"33,000",No,fixed,,Nil,Nil,PWD,PW-RD-GA-18945-19044dt1-2-21,2021_PWD_44336_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,12-Feb-2021 04:00 PM,18-Feb-2021 11:00 AM,12-Feb-2021 04:00 PM,17-Feb-2021 06:00 PM,NA ,NA ,12-Feb-2021 04:00 PM,17-Feb-2021 06:00 PM,22-Feb-2021 04:00 PM,C/O PCC Protection wall behind ITI Building at Tikkar,(SH-C/O protection wall length 40 mtr),Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,90.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198910.0,Satender Sood,17-Feb-2021 12:54 PM,Rejected-Finance,rejected,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compulsory otherwise tender will be rejected,UTR No copy should",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
