Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
OCN/DB-27/NIT-No-03/2023-24,E-Tender for Partial Turn Key Basis for Prov. SOP to LWSS Bobri Stage I and II (Jal Shakti Vibhag) by Prov. 63 KVA DTR along with HT LT line and Augmentation of 01 Number 11/.4 Kv 63 KVA DTR in ES Shillai UESD Shillai. (Ch to - Deposit Scheme,A Class License with Similar nature of Work Experience as per SBD ,NA ,"7,08,595",Electrical Works,HT LT and Sub-Station ,Tender,90.0,90.0,Shillai,173027.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,1.0,corigendum2,Date,,10-May-2023 05:40 PM,24-May-2023 03:30 PM,11-May-2023 10:00 AM,23-May-2023 12:00 PM,11-May-2023 10:00 AM ,20-May-2023 05:00 PM ,11-May-2023 11:00 AM,23-May-2023 12:00 PM,03-Aug-2023 03:30 PM,590.0,Nil,Nil,No,SE (OP) Circle Nahan,SE (OP) Circle Nahan,"7,090",No,fixed,,Nil,Nil,HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-03/2023-24,2023_HPSEB_73114_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Sep-2023,"INR 698,001",75.0,Darshan Singh,12-Sep-2023 11:31 AM,LOA.pdf (343.00 KB),"LOA Issued to M/s Nasir Mohd., Rawat amounting to Rs. 6,98,001/- (Six Lac Ninety-Eight Thousand and One only)",Technical,Techno-Commercial bid opened,Darshan Singh,24-May-2023 04:14 PM,,Finance,Price bid opened,Darshan Singh,03-Aug-2023 04:20 PM,,BOQ Comparative Chart,1.0,347315.0,DHARMENDER VERMA,19-May-2023 10:10 PM,Rejected-Finance,L2,12-Sep-2023,Er. Darshan Singh,Internal,"AAO, AO/Sr.XEN and CHDM",Darshan Singh,03-Aug-2023 02:42 PM,03-Aug-2023 03:30 PM,techsummary_109947.pdf (261.01 KB),Er. Darshan Singh,Internal,"AO/Sr.XEN, AAO and CHDM",Darshan Singh,12-Sep-2023 11:11 AM,finsummary_109947.pdf (245.32 KB),1.0,348236.0,Nasir Mohd Rawat,INR,"698,001",HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_73114_1,OCN/DB-27/NIT-No-03/2023-24,OCN/DB-27/NIT-No-03/2023-24
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,License registered with CEI of HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,348033.0,M/s Arunodaya Multi Services Pvt. Ltd.,21-May-2023 09:23 AM,Rejected-Technical,disqualified,03-Aug-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,348236.0,Nasir Mohd Rawat,20-May-2023 06:29 PM,Accepted-AOC,L1,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience similar nature of work as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affadavits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,ITR/TURNOVER Verified with CA/Bid Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.xls,Bid Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.xls,Techno-Commercial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
