Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
14-Jun-2022 09:00 AM,04-Aug-2022 03:00 PM,14-Jun-2022 09:05 AM,04-Aug-2022 01:00 PM,NA ,NA ,27-Jun-2022 09:00 AM,04-Aug-2022 01:00 PM,02-Sep-2022 11:20 AM,1.0,CorrigendumIII,Date,,"3,80,000",No,fixed,,Nil,Nil,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 498/2022,2022_HPSEB_61710_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of 2 Nos. 132 kV Feeder Bays,"Design, Engineering, Manufacturing, Supply, Testing of Equipment, Delivery, Storage at Site, Erection, Testing and Commissioning of equipment along with other allied works and Civil works for construction of 02 Nos. 132 kV terminal bays.",As per Clause No. 9 of Detailed NIT ,NA ,"3,77,58,000",Electrical Works,Construction of 132 kv Bays ,Tender,240.0,270.0,220/132 kV sub-station Kangoo,175018.0,Hamirpur ,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur ",20-Jun-2022 09:00 AM ,Hamirpur,No ,No,"11,800",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,List of Past Supplies,Er. K. K. Bhardwaj,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur",1.0,289693.0,ARUN ELECTRICALS INDIA,02-Jul-2022 06:08 PM,Rejected-Technical,Non Responsive,02-Sep-2022,Er. K. K. Bhardwaj,Internal,"SE, Sr. Xen, AO, JE",Puneet Chaudhary,02-Sep-2022 11:18 AM,02-Sep-2022 11:20 AM,techsummary_93113.pdf (197.13 KB),01-Sep-2023,"INR 36,579,188",270.0,Puneet Chaudhary,01-Sep-2023 04:35 PM,Award498.pdf (8717.00 KB),The tender has been awarded to L-I firm,Technical,All the firms have paid requisite tender fee and EMD fee.,Megha Rana,04-Aug-2022 03:29 PM,technical_93113.pdf,Finance,Summary,Narender Pal Abrol,02-Sep-2022 11:41 AM,finance_93113.pdf,BOQ Comparative Chart,Er. K. K. Bhardwaj,Internal,"SE, Sr. XEN, AAO, JE",Puneet Chaudhary,01-Sep-2023 04:34 PM,finsummary_93113.pdf (192.16 KB),1.0,293956.0,NARESH AGARWAL CONTRUCTION PRIVATE LIMITED,INR,"36,579,188",HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_61710_1,SSD 498/2022,Construction of 2 Nos. 132 kV Feeder Bays
,,,,,,,,,2.0,Amendment in Schedule Civil of Detailed Price Schedule,Financial Bid,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTPs,,,2.0,292405.0,mohd anwar,04-Aug-2022 11:41 AM,Rejected-Technical,Non Responsive,02-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,3.0,GTPs,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,TechnoCommercial Schedule,,,3.0,288639.0,M/S DEVARYA ENGINEERING,04-Jul-2022 12:53 PM,Rejected-Technical,Non Responsive,02-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,4.0,293956.0,NARESH AGARWAL CONTRUCTION PRIVATE LIMITED,02-Aug-2022 05:01 PM,Accepted-AOC,The firm quoted lowest rates,01-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped (.rar) file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
