Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt",Narender verma,08-Oct-2021 04:41 PM,finsummary_78541.pdf (1875.57 KB),20-Sep-2023,"INR 1,011,047",30.0,Ram Singh Thakur,20-Sep-2023 03:01 PM,AOC.pdf (1038.00 KB),work awarded to Sh. Virender Thakur Govt. Contractor,PWD,2021_PWD_52545_2,No. PW-RGH/Estt/5591-5690 dt. 20.09.2021,/O Kuffer Pal to Ritab Pal road Km. 0/0 to 2/0 (SH P/L Tarring in 20 mm thick premix carpet with seal coat in Km. 0/0 to 1/0) Under SCSP,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,28-Sep-2021 03:55 PM,28-Sep-2021 04:00 PM,techsummary_78541.pdf (1500.77 KB),Technical,SUMMARY,Narender verma,28-Sep-2021 03:01 PM,technical_78541.pdf,1.0,238023.0,Sachin Chauhan,25-Sep-2021 09:10 PM,Rejected-Finance,L3,08-Oct-2021,Finance,SUMMARY,Narender verma,30-Sep-2021 04:26 PM,finance_78541.pdf,BOQ Comparative Chart,1.0,237577.0,Virender Thakur,INR,"1,011,047",PWD,No. PW-RGH/Estt/5591-5690 dt. 20.09.2021,2021_PWD_52545_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER Receipt uploaded,"20,500",Yes,fixed,,Nil,Nil,/O Kuffer Pal to Ritab Pal road Km. 0/0 to 2/0 (SH P/L Tarring in 20 mm thick premix carpet with seal coat in Km. 0/0 to 1/0) Under SCSP,/O Kuffer Pal to Ritab Pal road Km. 0/0 to 2/0 (SH P/L Tarring in 20 mm thick premix carpet with seal coat in Km. 0/0 to 1/0) Under SCSP,Please refer Tender documents. ,NA ,"10,08,029",Civil Works - Roads,NA ,Tender,75.0,30.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RAJGARH DIVISION HPPWD RAJGARH,No ,No,21-Sep-2021 02:00 PM,27-Sep-2021 11:00 AM,21-Sep-2021 02:00 PM,27-Sep-2021 10:30 AM,NA ,NA ,21-Sep-2021 02:00 PM,27-Sep-2021 10:30 AM,28-Sep-2021 04:00 PM,500.0,Nil,Nil,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,238120.0,Satish Thakur,26-Sep-2021 10:05 PM,Rejected-Finance,L2,08-Oct-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY Receipt uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,237577.0,Virender Thakur,25-Sep-2021 03:25 PM,Accepted-AOC,L1,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, General Rule Form No 8 duly signed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
