S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
1.0,ICICI BANK,SE (OP) Circle Nahan,SE (OP) Circle Nahan,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,590.0,Nil,Nil,No,OCN/DB-27/NIT-No-07/2023-24,E-Tender Partial Turn Key Basis for Construction of 11 KV HT and LT Line alongwith 63 KVA DTR at Chiyali Bass under Electrical Sub-Division Shillai (Ch to LV Phase-II),License registered with CEI of HP and similar nature of work experience ,NA ,"6,44,783",Electrical Works,HT LT and Sub-Station ,Tender,90.0,90.0,Shillai,173025.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,1.0,corigendum,Date,,25-May-2023 09:00 AM,03-Jun-2023 03:30 PM,26-May-2023 09:00 AM,03-Jun-2023 12:00 PM,25-May-2023 10:00 AM ,02-Jun-2023 03:00 PM ,26-May-2023 09:00 AM,03-Jun-2023 12:00 PM,06-Jun-2023 05:05 PM,"6,450",No,fixed,,Nil,Nil,HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-07/2023-24,2023_HPSEB_73863_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er. Darshan Singh,Internal,AAO AO/Sr. XEN and CHDM,Darshan Singh,06-Jun-2023 06:38 PM,finsummary_110924.pdf (211.64 KB),1.0,351173.0,DHARMENDER VERMA,INR,"641,559",HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_73863_1,OCN/DB-27/NIT-No-07/2023-24,OCN/DB-27/NIT-No-07/2023-24,Technical,Techno-Commercial bid opened,Darshan Singh,03-Jun-2023 03:47 PM,,Finance,price bid Opend,Darshan Singh,06-Jun-2023 05:20 PM,,BOQ Comparative Chart,12-Sep-2023,"INR 641,559",70.0,Darshan Singh,12-Sep-2023 11:39 AM,LOA.pdf (341.00 KB),"LOA Issued to M/s Dharmender verma amounting to Rs. 6,41,559/- (Six Lac Forty-One Thousand Five Hundred Fifty-Nine only)",1.0,351173.0,DHARMENDER VERMA,01-Jun-2023 10:21 AM,Accepted-AOC,L1,12-Sep-2023,Er. Darshan Singh,Internal,AO/SR.XEN AAO and CHDM,Darshan Singh,06-Jun-2023 05:01 PM,06-Jun-2023 05:05 PM,techsummary_110924.pdf (150.14 KB)
2.0,ICICI NEFT/RTGS,,,,,.pdf,License registered with CEI of HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351550.0,GIAN CHAND,03-Jun-2023 10:37 AM,Rejected-Finance,L3,06-Jun-2023,,,,,,,
,,,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351571.0,M/s Suresh Pal,03-Jun-2023 11:11 AM,Rejected-Finance,L2,06-Jun-2023,,,,,,,
,,,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Work experience of similar nature of work as per SBD Volume-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,ITR/BID Capacity/Turn over duly verified by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavits as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Joint venture if applicable as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.xls,Techno-Commercial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.xls,Bid Capacity as prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
