Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
HP SIDC Limited,2023_SIDC_74891_1,Job No. 7,"Construction of Cocoon, Marketing and storage centre and silk technology cum demonstration centre at Sidhpur Distt. Mandi (HP).",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,28-Jun-2023 03:56 PM,finsummary_112194.pdf (29.54 KB),1.0,355615.0,KHUB RAM,INR,"6,973,767",05-Sep-2023,"INR 6,973,767",360.0,Sushant Singh Negi,11-Sep-2023 10:41 AM,sidhpur.pdf (1769.00 KB),Award letter,1.0,355615.0,KHUB RAM,20-Jun-2023 04:32 PM,Accepted-AOC,AOC,11-Sep-2023,Technical,Tender Summary,Sushant Singh Negi,26-Jun-2023 10:34 AM,technical_112194.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,26-Jun-2023 10:36 AM,26-Jun-2023 12:00 PM,techsummary_112194.pdf (369.03 KB),Finance,Financial summary,Sushant Singh Negi,28-Jun-2023 03:52 PM,,BOQ Comparative Chart,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,"5,700",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),HP SIDC Limited,Job No. 7,2023_SIDC_74891_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"95,800",No,fixed,,Nil,Nil,"Construction of Cocoon, Marketing and storage centre and silk technology cum demonstration centre at Sidhpur Distt. Mandi (HP).","Construction of Cocoon, Marketing and storage centre and silk technology cum demonstration centre at Sidhpur Distt. Mandi (HP).",Please refer Tender documents. ,NA ,"47,95,104",Civil Works - Buildings,NA ,Tender,120.0,360.0,Sidhpur Mandi,175043.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,13-Jun-2023 11:00 AM,21-Jun-2023 11:00 AM,13-Jun-2023 11:00 AM,20-Jun-2023 05:00 PM,NA ,NA ,13-Jun-2023 11:00 AM,20-Jun-2023 05:00 PM,26-Jun-2023 12:00 PM
,,,,,,,,,,,,,,,,,,,,,,2.0,355537.0,PUNEET KUMAR GOVT CONTRACTOR,20-Jun-2023 01:43 PM,Rejected-Finance,Second lowest bidder,28-Jun-2023,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,355516.0,Sahil Enterprises,20-Jun-2023 02:38 PM,Rejected-Finance,Third lowest bidder,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
