Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
15-Sep-2023,"INR 770,421",30.0,Naveen Singh Kaundal,15-Sep-2023 05:00 PM,AOC...pdf (415.00 KB),AOC,Er Suresh Kumar Chandel,Internal,"Sh Prem Raj Meena DAO, Sh Ram Swaroop Thakur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,09-May-2022 04:18 PM,finsummary_83811.pdf (152.70 KB),Er Suresh Kumar Chandel,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,22-Feb-2022 04:46 PM,23-Feb-2022 11:00 AM,techsummary_83811.pdf (480.40 KB),PWD,2022_PWD_55773_7,PW-SRDD-CB-CTR-2021-22-15294 dated 07-01-2022,Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Jutogh under approved AMP for the FY- 2021-22,Technical,Bid opening summary,Naveen Singh Kaundal,01-Feb-2022 06:42 PM,technical_83811.pdf,1.0,258796.0,ABHISHEK SHARMA,27-Jan-2022 02:49 PM,Rejected-Finance,L2 Bidder,09-May-2022,Finance,Bid opening summary,Naveen Singh Kaundal,16-Mar-2022 11:30 AM,,BOQ Comparative Chart,1.0,258536.0,NOKH RAM SHARMA,INR,"539,301",1.0,ICICI BANK,PWD,PW-SRDD-CB-CTR-2021-22-15294 dated 07-01-2022,2022_PWD_55773_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Jutogh under approved AMP for the FY- 2021-22,SH- Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Jutogh under approved AMP for the FY- 2021-22.,As per tender documents ,NA ,"7,70,421",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,"15,000",No,fixed,,Nil,Nil,Executive Engineer,Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),17-Jan-2022 06:55 PM,28-Jan-2022 11:00 AM,17-Jan-2022 06:55 PM,27-Jan-2022 06:00 PM,NA ,NA ,17-Jan-2022 06:55 PM,27-Jan-2022 06:00 PM,23-Feb-2022 11:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,258476.0,NITISH BHARDWAJ,26-Jan-2022 03:12 PM,Rejected-Technical,did not submitted the original affidavit,22-Feb-2022,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,258536.0,NOKH RAM SHARMA,27-Jan-2022 04:59 PM,Accepted-AOC,L-1,15-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,258788.0,Om Prakash,27-Jan-2022 03:35 PM,Rejected-Finance,The bidder has given written undertaking (N.O.C.) to this office.,09-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,258155.0,Rajinder Singh,27-Jan-2022 03:43 PM,Rejected-Finance,L3 Bidder,09-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,258101.0,RAMESHWAR THAKUR,27-Jan-2022 01:33 PM,Rejected-Finance,L4 Bidder,09-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,
