Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,PW-KD-E-Tender/2023-24-1766-69 dtd 25-07-2023,2023_PWD_76944_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Periodical Renewal on Dhali Dakhal Jakrari road in K.M. 0/00 to 7/075, P/L, WBM, G-III in patches and 30 mm Thick bituminous concrete surfacing in K.M. 0/00 to 6/210","Periodical Renewal on Dhali Dakhal Jakrari road in K.M. 0/00 to 7/075, P/L, WBM, G-III in patches and 30 mm Thick bituminous concrete surfacing in K.M. 0/00 to 6/210",Please refer Tender documents. ,NA ,"98,18,133",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Extension of date,Date,,Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),31-Jul-2023 01:15 PM,11-Aug-2023 11:00 AM,31-Jul-2023 01:15 PM,10-Aug-2023 06:00 PM,NA ,NA ,31-Jul-2023 01:15 PM,10-Aug-2023 06:00 PM,22-Aug-2023 03:30 PM,1.0,ICICI BANK,"2,000",Nil,Nil,No,"1,96,400",No,fixed,,Nil,Nil,Executive Engineer,Internal,"XEN, AE, Supdt.Gr-II, HDM",Vinod Shyam,22-Aug-2023 03:28 PM,22-Aug-2023 03:30 PM,techsummary_115025.pdf (910.56 KB),PWD,2023_PWD_76944_1,PW-KD-E-Tender/2023-24-1766-69 dtd 25-07-2023,"Periodical Renewal on Dhali Dakhal Jakrari road in K.M. 0/00 to 7/075, P/L, WBM, G-III in patches and 30 mm Thick bituminous concrete surfacing in K.M. 0/00 to 6/210",06-Sep-2023,"INR 9,818,833",60.0,Vinod Shyam,06-Sep-2023 01:13 PM,1111.pdf (1099.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. Gr-II, HDM",Vinod Shyam,22-Aug-2023 05:19 PM,finsummary_115025.pdf (190.64 KB),1.0,364854.0,Laiq Ram Chauhan and Sons,09-Aug-2023 06:11 PM,Rejected-Finance,L2 BIDDER,22-Aug-2023,Technical,Summary Updated,Vinod Shyam,22-Aug-2023 03:26 PM,technical_115025.pdf,1.0,364932.0,RAVINDER CHAUHAN,INR,"9,995,428",Finance,SUMMARY UPDATED,Vinod Shyam,22-Aug-2023 05:17 PM,finance_115025.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,364932.0,RAVINDER CHAUHAN,09-Aug-2023 04:37 PM,Accepted-AOC,lowest bidder to awarded the work,06-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18) IN OWNERSHIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
