EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To
"71,250",Yes,fixed,,EE Suni,Suni,Supply of skilled workers,"Supply of skilled workers i.e. Plumber, Helper, Electrician, Sweeper, Gardner/Mali, Security Guard/Chowkidar MTS-cum-Supervisor and M.T.S. (Multi-Tasking Staff) (Outsource basis) for carrying out Housekeeping ,Watch Ward etc Activities in Head Off",Please refer Tender documents. ,NA ,"42,48,987",Manpower Supply,NA ,Tender,90.0,365.0,Suni,171301.0,NA ,NA ,NA ,Suni,No ,No,1.0,ICICI BANK,800.0,EE Suni,Suni,No,Executive Engineer,Jal Shakti Division Suni,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML03-740/23-2376-79 dt 21-07-23,2023_HPIPH_76547_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Both(Online/Offline),No,No,No,21-Jul-2023 05:00 PM,28-Jul-2023 11:30 AM,21-Jul-2023 05:00 PM,28-Jul-2023 11:00 AM,21-Jul-2023 05:00 PM ,28-Jul-2023 11:00 AM ,21-Jul-2023 05:00 PM,28-Jul-2023 11:00 AM,09-Aug-2023 01:25 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,Technical,Technical bid opening summary,Subash Chauhan,05-Aug-2023 03:05 PM,technical_114446.pdf,Finance,Comparative Summary of BOQ,Subash Chauhan,09-Aug-2023 02:24 PM,finance_114446.pdf,BOQ Comparative Chart,12-Sep-2023,"INR 4,248,987",365.0,Subash Chauhan,12-Sep-2023 03:26 PM,Award.pdf (1176.00 KB),Estt. cost,1.0,362855.0,HR CONTRACTOR,27-Jul-2023 01:58 PM,Rejected-Technical,document not as per NIT,09-Aug-2023,EE,Internal,SUPDT HDM DAO,Subash Chauhan,09-Aug-2023 01:20 PM,09-Aug-2023 01:25 PM,techsummary_114446.pdf (1086.35 KB),EE,Internal,Supdt HDM DAO,Subash Chauhan,12-Sep-2023 03:16 PM,finsummary_114446.pdf (1184.58 KB),1.0,362932.0,Universal Training and Research Institute,INR,"3,786,156","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_76547_1,SNN-SML03-740/23-2376-79 dt 21-07-23,Supply of skilled workers,1.0,Corrections in technical evaluation,Corrections made in technical evaluation,05-Aug-2023 02:59 PM,Corrigendum.pdf ,434.14,Technical Opening
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender document as per NIT,,,,,,,,,,,,,,,,,,,2.0,362832.0,Lalit Thakur,28-Jul-2023 10:56 AM,Rejected-Technical,documents not as per NIT,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration of Agency/Firm as Contractor or as Company in the State of Himachal P,,,,,,,,,,,,,,,,,,,3.0,362932.0,Universal Training and Research Institute,28-Jul-2023 10:12 AM,Accepted-AOC,agreed for one year service,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Self-attested copy of Labour License under Contract Labour (Regulation Abolition) Act, 1970",,,,,,,,,,,,,,,,,,,4.0,362819.0,UTRI HR Services Private Ltd,28-Jul-2023 10:09 AM,Rejected-AOC,refused to do work,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Self attested copy income tax number PAN GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Self attested copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Self attested copy of registration under ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration about fraud and corrupt practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit from. the Contractor/Company regarding non- blacklisting by any State/Centre Govern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit indicating that there is no criminal suit pending or contemplated against the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest self attested scanned copy of income tax clearance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The firm/bidder shall furnish a certificate that they have fully acquainted themselves with all the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
