Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"Executive Engineer Chamba Division,HPPWD Chamba","Executive Engineer Chamba Division,HPPWD Chamba",Special repair of General Pool residential accommodation at Hardaspura (SH Providing /laying interlocking paver),Special repair of General Pool residential accommodation at Hardaspura (SH Providing /laying interlocking paver),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer Chamba Division,HPPWD Chamba",No ,No,"36,500",No,fixed,,Nil,Nil,PWD,No.PWC-WA-II- 10521-620 dated 20.9.22,2022_PWD_65797_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,30-Sep-2022 03:00 PM,10-Oct-2022 11:30 AM,30-Sep-2022 03:00 PM,07-Oct-2022 05:00 PM,NA ,NA ,30-Sep-2022 03:00 PM,07-Oct-2022 05:00 PM,12-Oct-2022 11:30 AM,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,1.0,305446.0,Nirut Mehta,INR,"1,889,930",Finance,Bid opening Summary,Jeet Singh Thakur,22-Oct-2022 04:57 PM,finance_99012.pdf,BOQ Comparative Chart,1.0,306682.0,HANS RAJ,07-Oct-2022 12:39 PM,Rejected-Finance,3rd lowest,22-Oct-2022,Technical,BOS,Jeet Singh Thakur,11-Oct-2022 03:51 PM,technical_99012.pdf,PWD,2022_PWD_65797_3,No.PWC-WA-II- 10521-620 dated 20.9.22,Special repair of General Pool residential accommodation at Hardaspura (SH Providing /laying interlocking paver),EE,Internal,Assistant Engineer Superintendent and senior Assistant,Jeet Singh Thakur,11-Oct-2022 03:54 PM,12-Oct-2022 11:30 AM,techsummary_99012.pdf (171.38 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Oct-2022 05:01 PM,finsummary_99012.pdf (129.71 KB),13-Sep-2023,"INR 2,016,973",60.0,Rajeev Kumar,13-Sep-2023 03:27 PM,13025.pdf (892.00 KB),Special repair of General Pool residential accommodation at Hardaspura (SH Providing /laying interlocking paver)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,2.0,305446.0,Nirut Mehta,01-Oct-2022 07:14 PM,Accepted-AOC,Work completed,13-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,3.0,306610.0,YOG RAJ,06-Oct-2022 02:01 PM,Rejected-Finance,2nd lowest,22-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
