Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),350.0,Nil,Nil,No,1.0,ICICI BANK,"Repair renovation to Various Residential Building Under Shimla Division No. III( SH - Repair of flooring , Furniture Items and Curtain etc. in MH. No. 9 at Yates Place Shimla-2)","Repair renovation to Various Residential Building Under Shimla Division No. III( SH - Repair of flooring , Furniture Items and Curtain etc. in MH. No. 9 at Yates Place Shimla-2)",As per SBD ,NA ,"8,24,244",Civil Works - Buildings,NA ,Tender,75.0,30.0,Yates Place,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,PWD,SD-III-T-10155-71dt.9-8-2023,2023_PWD_77474_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Aug-2023 09:00 AM,30-Aug-2023 09:00 AM,18-Aug-2023 09:00 AM,29-Aug-2023 06:00 PM,NA ,NA ,18-Aug-2023 09:00 AM,29-Aug-2023 06:00 PM,30-Aug-2023 03:00 PM,"16,490",No,fixed,,Nil,Nil,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",13-Sep-2023,"INR 824,244",30.0,Parveen Kumar Verma,11-Jan-2024 10:50 AM,lalit2.pdf (379.00 KB),AOC,1.0,367118.0,Lalit Kumar,INR,"824,244",ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,31-Aug-2023 09:04 AM,finsummary_116000.pdf (307.04 KB),PWD,2023_PWD_77474_11,SD-III-T-10155-71dt.9-8-2023,"Repair renovation to Various Residential Building Under Shimla Division No. III( SH - Repair of flooring , Furniture Items and Curtain etc. in MH. No. 9 at Yates Place Shimla-2)",Finance,BIOS,Deepak Raj Chauhan,30-Aug-2023 03:45 PM,finance_116000.pdf,BOQ Comparative Chart,Technical,BOS,Bhupender Singh,30-Aug-2023 02:57 PM,technical_116000.pdf,ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,30-Aug-2023 02:58 PM,30-Aug-2023 03:00 PM,techsummary_116000.pdf (379.70 KB),1.0,368672.0,DOBHAL CONSTRUCTION,26-Aug-2023 06:24 PM,Rejected-Finance,L2,31-Aug-2023
,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,367118.0,Lalit Kumar,24-Aug-2023 12:19 PM,Accepted-AOC,L1,11-Jan-2024
,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Address and Valid Mobile Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
