S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Instrument Type
1.0,367776.0,Virender Singh Raghwa,INR,"5,298,366",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_77507_1,F(5)-47/2023-736dt11.08.2023,"C/o Flow Irrigation Scheme Siyanh Ki Kuhal at Village Ratti, G.P.Ratti, Tehsil Balh , District Mandi (H.P.).",Balbir Singh Thakur,Internal,Pawan Kumar Sonal Gupta O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,05-Sep-2023 11:03 AM,finsummary_115800.pdf (246.26 KB),19-Sep-2023,"INR 5,298,366",365.0,Sonal Gupta,19-Sep-2023 04:45 PM,FISsiyNH.pdf (1394.00 KB),Letter of Acceptance,Technical,Technical Evaluation,Sonal Gupta,31-Aug-2023 12:38 PM,technical_115800.pdf,Finance,Finnacial Statement,Sonal Gupta,05-Sep-2023 10:58 AM,finance_115800.pdf,BOQ Comparative Chart,1.0,367672.0,JITENDER KUMAR,21-Aug-2023 05:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Aug-2023,Balbir Singh Thakur,Internal,Pawan Kumar O.P Dhiman O.P Chauhan Sonal Gupta Pradeep Sharma Yoginder Kaushal,Sonal Gupta,31-Aug-2023 12:44 PM,31-Aug-2023 12:50 PM,techsummary_115800.pdf (532.93 KB),"C/o Flow Irrigation Scheme Siyanh Ki Kuhal at Village Ratti, G.P.Ratti, Tehsil Balh , District Mandi (H.P.).","C/o Flow Irrigation Scheme Siyanh Ki Kuhal at Village Ratti, G.P.Ratti, Tehsil Balh , District Mandi (H.P.).",Please refer Tender documents. ,NA ,"38,57,770",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Ratti, G.P.Ratti, Tehsil Balh , District M",175008.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",16-Aug-2023 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-47/2023-736dt11.08.2023,2023_HPCDP_77507_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"66,000",Yes,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"1,500","District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",No,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",11-Aug-2023 05:00 PM,23-Aug-2023 11:00 AM,11-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM,NA ,NA ,11-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM,31-Aug-2023 12:50 PM,1.0,DD - Demand Draft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,367659.0,Rajeev Sood,22-Aug-2023 01:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,367723.0,SUDESH KUMAR GOVT CONTRACTOR,21-Aug-2023 11:36 PM,Rejected-Finance,Reject,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,367824.0,tej ram construction company,22-Aug-2023 02:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,367701.0,Tek Singh Raghav,21-Aug-2023 07:57 PM,Rejected-Finance,Reject,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,367776.0,Virender Singh Raghwa,22-Aug-2023 03:02 PM,Accepted-AOC,Accept,19-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,
