Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
PWD,PW-RD-GA-Tender/22-5898-5994 dt. 28.06.2022,2022_PWD_63847_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,25-Aug-2022 06:00 PM,01-Sep-2022 11:00 AM,25-Aug-2022 06:00 PM,31-Aug-2022 06:00 PM,NA ,NA ,25-Aug-2022 06:00 PM,31-Aug-2022 06:00 PM,13-Sep-2022 10:00 AM,C/o Link road Darsi Balsan Chalasar to Jharag Kainchi Km. 0.0 to 5.0,SH CO Widening of 5.7 mtr. wide road Protection Rd. 0.750 to 0.915,Please refer Tender documents. ,NA ,"9,91,030",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,"19,820",No,fixed,,Nil,Nil,E E HPPWD ROHRU,E E HPPWD ROHRU,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,ICICI BANK,500.0,Nil,Nil,No,PAWAN KUMAR,Internal,"Er. C.L.Azad, Sanjay Thakur , Ranvir Chauhan",Duni Chand Chauhan,13-Sep-2022 09:32 AM,13-Sep-2022 10:00 AM,techsummary_96206.pdf (168.26 KB),PWD,2022_PWD_63847_9,PW-RD-GA-Tender/22-5898-5994 dt. 28.06.2022,C/o Link road Darsi Balsan Chalasar to Jharag Kainchi Km. 0.0 to 5.0,20-Sep-2023,"INR 4,508,120",60.0,Chuni Lal Azad,20-Sep-2023 09:16 AM,Kisahoir.pdf (433.00 KB),ACO,Er. Pawan,Internal,Er. C.L. AZAD,Pawan Kumar Garg,01-Dec-2022 05:37 PM,finsummary_96206.pdf (75.80 KB),1.0,297793.0,Kuldeep Singh Chauhan,INR,"787,850",Finance,Summeryy,Duni Chand Chauhan,13-Sep-2022 11:16 AM,finance_96206.pdf,BOQ Comparative Chart,1.0,297805.0,Balwant Singh,27-Aug-2022 12:32 PM,Rejected-Finance,2nd lowest,01-Dec-2022,Technical,summery,Duni Chand Chauhan,13-Sep-2022 09:06 AM,technical_96206.pdf
,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297793.0,Kuldeep Singh Chauhan,27-Aug-2022 11:47 AM,Accepted-AOC,AOC,20-Sep-2023,,,,,
,,,,,,,,,,,,,,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULEs should be signed by the Executive Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE with RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 filled properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
