Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"5,000",Nil,Nil,No,Executive Engineer,HPPWD Division Barsar,C/O Primary Health Center building at Chakmoh District Hamirpur,"C/O building portion including , Water supply and Sanitary Installation , Septic tank ,rain water harvesting tank , site development ,R/wall and boundary wall including gate",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,"2,57,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form online mode,14-Jun-2023 05:50 PM,20-Jun-2023 11:00 AM,14-Jun-2023 05:50 PM,20-Jun-2023 10:30 AM,NA ,NA ,14-Jun-2023 05:50 PM,20-Jun-2023 10:30 AM,07-Jul-2023 10:30 AM,PWD,C/O Primary Health Center building at Chakmoh,2023_PWD_74982_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,355325.0,HIMALAYAN TECHNO GOVT CONTRACTOR,19-Jun-2023 07:54 PM,Rejected-Finance,L 4,22-Jul-2023,Technical,Bid opening summary,Rajinder Singh,04-Jul-2023 09:15 PM,technical_112322.pdf,1.0,355180.0,SHIV RAM,INR,"18,560,625",Finance,fin bid opening summary,Rajinder Singh,07-Jul-2023 03:18 PM,finance_112322.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Supdt HDM DAO,Rajinder Singh,04-Jul-2023 09:17 PM,07-Jul-2023 10:30 AM,techsummary_112322.pdf (271.85 KB),PWD,2023_PWD_74982_2,C/O Primary Health Center building at Chakmoh,C/O Primary Health Center building at Chakmoh District Hamirpur,30-Sep-2023,"INR 22,511,373",365.0,Rajinder Singh,30-Sep-2023 12:46 PM,awardPHCChakmoh.pdf (644.00 KB),C/O Primary Health Center building at Chakmoh District Hamirpur,Executive Engineer,Internal,Supdt HDM DAO,Rajinder Singh,22-Jul-2023 12:58 PM,finsummary_112322.pdf (92.69 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD online mode,,,,,,,,,,,,,,,,,,,,,,,,2.0,354903.0,Ramesh Chand Govt. Contractor,19-Jun-2023 10:17 AM,Rejected-Finance,L 2,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,3.0,355180.0,SHIV RAM,19-Jun-2023 10:03 AM,Accepted-AOC,Work awarded and EMD received in this office in shape of FDR,30-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,4.0,355137.0,VIJAY KUMAR,19-Jun-2023 10:47 PM,Rejected-Finance,L 3,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant as per SBD with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
