Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address
25-Sep-2023,"INR 81,520,168",570.0,Rajeev Kumar,25-Sep-2023 05:00 PM,6953rkm14923.pdf (663.00 KB),Widening and Strengtheningh of Chamba Khajjiar Road Km. 0/0 to 19/0 (MDR-49) Under CRF for the Year 2018-19 Job No. CRF-HP-2018-19-157 (SH Construction of Balance work),SE,Internal,"Dealing Assistant C and C Superintendent Gr.II Works Executive Engineer Design , 7th Circle HPPWD Dalhousie",Rajeev Kumar,15-Sep-2023 10:09 AM,finsummary_110449.pdf (137.94 KB),CE,Internal,EE Chamba DC F and A EE d SE 7th SE CE KZ,Rajeev Kumar,09-Aug-2023 12:17 PM,18-Aug-2023 11:30 AM,techsummary_110449.pdf (952.75 KB),PWD,2023_PWD_73482_1,No.PWC-WA-II/Contract/23- 1453-552 Dated 12.5.23,Widening and Strengtheningh of Chamba Khajjiar Road Km. 0/0 to 19/0 (MDR-49) Under CRF for the Year 2018-19 Job No. CRF-HP-2018-19-157 (SH Construction of Balance work),Technical,BOS,Rajeev Kumar,09-Aug-2023 12:10 PM,technical_110449.pdf,1.0,349749.0,M/s R.K Mahajan Govt Contractor,27-May-2023 01:48 PM,Accepted-AOC,"Required performance security amounting to Rs. 22,41,000/- received, hence work awarded to the contractor",25-Sep-2023,Finance,BOS,Rajeev Kumar,19-Aug-2023 01:28 PM,finance_110449.pdf,BOQ Comparative Chart,1.0,349749.0,M/s R.K Mahajan Govt Contractor,INR,"89,615,354","5,000",Nil,Nil,No,1.0,ICICI BANK,Widening and Strengtheningh of Chamba Khajjiar Road Km. 0/0 to 19/0 (MDR-49) Under CRF for the Year 2018-19 Job No. CRF-HP-2018-19-157 (SH Construction of Balance work),Widening and Strengtheningh of Chamba Khajjiar Road Km. 0/0 to 19/0 (MDR-49) Under CRF for the Year 2018-19 Job No. CRF-HP-2018-19-157 (SH Construction of Balance work),Please refer Tender documents. ,NA ,"8,15,20,168",Civil Works - Roads,NA ,Tender,75.0,570.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,18-May-2023 11:00 AM,29-May-2023 11:30 AM,18-May-2023 11:00 AM,27-May-2023 05:00 PM,NA ,NA ,18-May-2023 11:00 AM,27-May-2023 05:00 PM,18-Aug-2023 11:30 AM,"16,31,000",No,fixed,,Nil,Nil,PWD,No.PWC-WA-II/Contract/23- 1453-552 Dated 12.5.23,2023_PWD_73482_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,349735.0,Surinder Pal Dhall,27-May-2023 12:20 PM,Rejected-Finance,Being 2nd lowest,15-Sep-2023,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff documentary proof,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years Ref. Gen.Rule No. 26.2 a,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant and Equipment (As per schedule F with reference to clause 18 of GCC),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of both gazette and non gazette HPPWD employees related to him,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit having not more than two works( More than Rs.1.00 crore) in hand will have to be furnished,,
