Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
PWD,pw-kd-e-tender/2023-24-2667-71 dtd 29-8-2023,2023_PWD_78434_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/o Bailey Bridge on Sholvi Dalsar Hatli road in Tehsil Kotkhai, Distt. Shimla, H.P. , C/o, Both side abutments, wing walls and M/T on approaches at R.D. 0/240","C/o Bailey Bridge on Sholvi Dalsar Hatli road in Tehsil Kotkhai, Distt. Shimla, H.P. , C/o, Both side abutments, wing walls and M/T on approaches at R.D. 0/240",Please refer Tender documents. ,NA ,"53,38,119",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,HPPWD DIVISION KOTKHAI,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),05-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,05-Sep-2023 11:00 AM,11-Sep-2023 06:00 PM,NA ,NA ,05-Sep-2023 11:00 AM,11-Sep-2023 06:00 PM,16-Sep-2023 12:25 PM,"1,06,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,Finance,summary updated,Vinod Shyam,21-Sep-2023 11:35 AM,finance_116969.pdf,BOQ Comparative Chart,1.0,370370.0,RAVINDER CHAUHAN,INR,"5,538,011",1.0,371243.0,Ashu Chauhan,11-Sep-2023 04:43 PM,Rejected-Technical,Not Qualified,16-Sep-2023,Technical,Summary Uploaded,Vinod Shyam,16-Sep-2023 12:22 PM,technical_116969.pdf,PWD,2023_PWD_78434_1,pw-kd-e-tender/2023-24-2667-71 dtd 29-8-2023,"C/o Bailey Bridge on Sholvi Dalsar Hatli road in Tehsil Kotkhai, Distt. Shimla, H.P. , C/o, Both side abutments, wing walls and M/T on approaches at R.D. 0/240",Executive Engineer,Internal,"XEN, AE, Supdt. Gr-I, HDM",Vinod Shyam,16-Sep-2023 12:24 PM,16-Sep-2023 12:25 PM,techsummary_116969.pdf (1549.69 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,21-Sep-2023 11:38 AM,finsummary_116969.pdf (188.80 KB),29-Sep-2023,"INR 5,338,119",45.0,Vinod Shyam,29-Sep-2023 12:23 PM,1.pdf (650.00 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,370715.0,Laiq Ram Chauhan and Sons,09-Sep-2023 06:33 PM,Rejected-Finance,L2 BIDDER,21-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370370.0,RAVINDER CHAUHAN,09-Sep-2023 06:04 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,29-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18) IN OWNERSHIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
