EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"2,18,500",Yes,fixed,,Nil,Nil,Executive Engineer,Chopal Division HPPWD Chopal,1.0,ICICI BANK,"2,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,M/T on Salana Jhina road km. 0/0 to 7/0,M/T and HPC in between km. 0/0 to 3/600) under MNP,As per SBD ,NA ,"1,09,12,991",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,PWD,CHD_3438-3537,2023_PWD_76370_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Jul-2023 06:00 PM,25-Jul-2023 11:00 AM,18-Jul-2023 06:00 PM,24-Jul-2023 05:00 PM,NA ,NA ,18-Jul-2023 06:00 PM,24-Jul-2023 05:00 PM,01-Aug-2023 11:00 AM,1.0,362033.0,Uttej Rathour,INR,"11,404,076",Finance,Financial bid has been opened on 01.08.2023 by the bid opening committee.,Prem Prakash Amrate,15-Sep-2023 03:31 PM,finance_114227.pdf,BOQ Comparative Chart,1.0,362035.0,Trilok Singh Rathour,24-Jul-2023 03:17 PM,Rejected-AOC,Rejected,16-Sep-2023,Technical,TER,Prem Prakash Amrate,28-Jul-2023 12:48 PM,technical_114227.pdf,PWD,2023_PWD_76370_1,CHD_3438-3537,M/T on Salana Jhina road km. 0/0 to 7/0,Er. Rakesh Thakur,Internal,AE HDM and Superintendent Gr. II,Prem Prakash Amrate,28-Jul-2023 12:50 PM,01-Aug-2023 11:00 AM,techsummary_114227.pdf (468.25 KB),Er Rakesh Kumar,Internal,HDM and Supdt. Gr.II,Prem Prakash Amrate,16-Sep-2023 02:23 PM,finsummary_114227.pdf (247.30 KB),16-Sep-2023,"INR 11,404,076",90.0,Prem Prakash Amrate,16-Sep-2023 02:50 PM,AOC_76370_SalanaJhina.pdf (816.00 KB),Work awarded for Rs.11404076/- vide office letter No. PW.CHD.CB.E-9/2023-5661-66 dated 11.08.2023.
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,362033.0,Uttej Rathour,24-Jul-2023 01:42 PM,Accepted-AOC,Accepted,16-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
