EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
"7,000",Yes,fixed,,Nil,Nil,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/23/2023-24,2023_HPSEB_78284_1,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,"Rakesh Kumar, Sr. XEN","Sr. Executive Engineer, TCD Pandoh",590.0,Nil,Nil,No,1.0,ICICI BANK,01-Sep-2023 05:30 PM,12-Sep-2023 12:30 PM,01-Sep-2023 05:30 PM,11-Sep-2023 01:00 PM,NA ,NA ,01-Sep-2023 05:30 PM,11-Sep-2023 01:00 PM,13-Sep-2023 04:00 PM,Tender for clearing and removal of boulder/pebbles /aggregates from the trench weir along with diversion work at intake site of Thirot HEP for the year 2023-24.,Tender for clearing and removal of boulder/pebbles /aggregates from the trench weir along with diversion work at intake site of Thirot HEP for the year 2023-24.,Please refer Tender documents. ,NA ,590.0,Miscellaneous Services,NA ,Tender,180.0,90.0,LAHUAL SPITI,175139.0,NA ,NA ,NA ,TCD PANDOH,No ,No,1.0,Fee/PreQual/Technical,.pdf,COPY OF AADHAR,Rakesh Kumar,Internal,"Rakesh Kumar Sr.xen, Rajkumar Sharma AE",Rakesh Kumar,14-Sep-2023 12:15 PM,finsummary_116774.pdf (312.89 KB),1.0,371043.0,Roshan Lal,INR,"274,538","HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2023_HPSEB_78284_1,HPSEBL/TCD/23/2023-24,Tender for clearing and removal of boulder/pebbles /aggregates from the trench weir along with diversion work at intake site of Thirot HEP for the year 2023-24.,Finance,financial summary,Rakesh Kumar,14-Sep-2023 11:29 AM,finance_116774.pdf,BOQ Comparative Chart,Technical,summary of technical part -1,Rakesh Kumar,13-Sep-2023 03:52 PM,technical_116774.pdf,14-Sep-2023,"INR 274,538",92.0,Rakesh Kumar,14-Sep-2023 01:16 PM,AWARDLETTER.pdf (660.00 KB),AWARD OF LETTER,Sh. Rakesh Kumar,Internal,"sh. Rakesh Kumar,Sh. Rajkumar",Rakesh Kumar,13-Sep-2023 03:58 PM,13-Sep-2023 04:00 PM,techsummary_116774.pdf (484.68 KB),1.0,371043.0,Roshan Lal,10-Sep-2023 01:58 PM,Accepted-AOC,L1,14-Sep-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371051.0,SOHAN SINGH,10-Sep-2023 02:48 PM,Rejected-Finance,L2,14-Sep-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,371178.0,Susheel,10-Sep-2023 09:53 PM,Rejected-AOC,L3,14-Sep-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX RETURN LAST THREE YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF NON-BLACKLISTING ON NON-JUDICIAL STAMP PAPER OF Rs.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF EPF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF ESI REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK OF SIMILIAR WORK DONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
