S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,347133.0,K.K. Construction,INR,"40,977,359",Finance,Proceedingregardingopeningoffinancialbids,Baldev Singh,26-Jul-2023 03:25 PM,finance_109654.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Baldev Singh,25-May-2023 12:25 PM,technical_109654.pdf,1.0,347133.0,K.K. Construction,24-May-2023 08:50 AM,Accepted-AOC,AOC,09-Oct-2023,23-Sep-2023,"INR 57,391,365",540.0,Hargovind Kaushal,09-Oct-2023 06:50 PM,AWARD72884.pdf (506.00 KB),"SE,15th Circle, HPPWD, Una",Internal,"Supdt Works Circle Una, CHD Circle Una, DAO Daulatpur, Sudpt Gr-I Circle Una, AE-Design Circle Una and E.E. Daulatpur",Baldev Singh,26-Jul-2023 03:32 PM,finsummary_109654.pdf (474.94 KB),Superitending Engineer,Internal,EE Daulatpur AE Design DAO Supdt Gr 1 Supdtt Works,Baldev Singh,18-Jul-2023 11:02 AM,22-Jul-2023 11:00 AM,techsummary_109654.pdf (1755.90 KB),PWD,2023_PWD_72884_1,C/O and MT of LR to Mohalla Kharsian Ward No. 3 Pa,"Construction of Link road to Mohalla Kharsian Ward No. 3 Paroh, Mohalla Ajipal, Shivbari, Jindpur, Mohalla GummaMaira Khaddar from Km. 0.0 to 4.550 under NABARD RIDF XXVIII","Superintending Engineer, 15th Circle, HPPWD, Una","Superintending Engineer, 15th Circle, HPPWD, Una","Construction of Link road to Mohalla Kharsian Ward No. 3 Paroh, Mohalla Ajipal, Shivbari, Jindpur, Mohalla GummaMaira Khaddar from Km. 0.0 to 4.550 under NABARD RIDF XXVIII","Construction of Link road to Mohalla Kharsian Ward No. 3 Paroh, Mohalla Ajipal, Shivbari, Jindpur, Mohalla GummaMaira Khaddar from Km. 0.0 to 4.550 under NABARD RIDF XXVIII",Please refer to Bidding Documents ,NA ,"5,73,91,365",Civil Works - Roads,NA ,Tender,75.0,540.0,Daulatpur Chowk,177204.0,NA ,NA ,NA ,"Superintending Engineer, 15th Circle, HPPWD, Una",No ,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,1.0,ICICI BANK,"11,47,900",No,fixed,,Nil,Nil,PWD,C/O and MT of LR to Mohalla Kharsian Ward No. 3 Pa,2023_PWD_72884_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum I,Date,,08-May-2023 10:00 AM,24-May-2023 11:00 AM,08-May-2023 10:30 AM,24-May-2023 09:00 AM,NA ,NA ,08-May-2023 10:30 AM,24-May-2023 09:00 AM,22-Jul-2023 11:00 AM
,,,,,,,,,,,,,,,,2.0,347126.0,M/s Bhagwati Construction Co.,23-May-2023 03:08 PM,Rejected-Finance,Not L-1,26-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum II,Other,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,347278.0,V.B Const Co.,22-May-2023 04:37 PM,Rejected-Finance,Not L-1,26-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience in works of a similar nature and size for each of the last five years, and details of wor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of ownership of major items of construction equipment named in Clause 4.4B (b) (i) of ITB o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of the technical personnel proposed to be employed for the Contract having the qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
